Sequence_ID	biosample_accession
0025ee6d8ffc3527fae928577cd83974	SAMN12684770
0029203f1cf76ad93f6def51854d7834	SAMN12684770
00893f10c71382d7a46dad5fc3aa0ab7	SAMN12684819
00a9f88a97d26b6d201cdae23b48c4b2	SAMN12684770
00acb8cce391c16994e5f40bf697eba8	SAMN12684770
00ad38bb02398c4a200eafa41c222530	SAMN12684770
00c0beca832f26b29f214e1ab247ffaf	SAMN12684770
00c29d6a61cc69db691b91ca1efd1a95	SAMN12684770
00dd9b4706c9ea24494a9e5019929079	SAMN12684819
010e636074175fedb7b8fa8665061272	SAMN12684770
01142da92724f5965b7333ebed3671c6	SAMN12684770
01641588e006c0a0cb97cefffeaf3b0a	SAMN12684770
0168c1d42e41dd3ca4342c4796c402b5	SAMN12684770
017c6e073ab748da0bc34f50e1d87dfd	SAMN12684770
01b2edd3b486d8c912efa0aa40a9dba4	SAMN12684770
01ccd70cdb1b19f375de5ce7959c9757	SAMN12684770
01ceb273f07451ca5839de9f2e201ade	SAMN12684770
022fcf7a527b3b4e3641c6764d481646	SAMN12684770
025235dee956f6449fa034c97c6bc3c1	SAMN12684819
025d2e94f9472b398f55cdc1c6d3df2c	SAMN12684770
025f385ff39fe5301be61552de1ae958	SAMN12684770
026b65c3ecd352f4c82b0ebc08700d36	SAMN12684770
028b7889fd11d2579fbec2150449d2b9	SAMN12684770
0295c8a94a292edaecc31cd1fa8bd802	SAMN12684770
02d6236ed5efbe82923293068a706caf	SAMN12684819
02d87d5b5cdd97d8e1c4aceb341cfe4d	SAMN12684819
02e45187f3c753879afb75abde6ddfbb	SAMN12684770
02ee24687278471837cc69fb512e79e3	SAMN12684770
02f6c7de28791679e99c0c97b98e0070	SAMN12684770
031214385f7dc917bfeefc2d64e90359	SAMN12684770
0316024398b948a088b28cbecdc5736d	SAMN12684770
033255c86d9db5c4ae46388b7e72c71b	SAMN12684819
0337d602852eee8dc8320afd293ece32	SAMN12684770
033d9f53338b624c6b7dc98871c39501	SAMN12684770
033ebe72a76eadf0bab04aa26b4c5072	SAMN12684770
035242ef80600a8b962bfe049c169880	SAMN12684819
0358c89d4bc509d919cba48285cda40b	SAMN12684770
039f09000cd861cdcd5afc9efd37cae0	SAMN12684770
03aafb81c0a4a61345e107f1c21c6372	SAMN12684819
03c59c795cbf8c9ad42da2a5e07895e6	SAMN12684770
03d0d1dccade5c83124f50a2444e55fe	SAMN12684770
03d34a637a1f066cd5ff62e81094f5ff	SAMN12684819
03fcd2d0426a148708186a3b62168002	SAMN12684770
04231e96a01456697d14977fb086825d	SAMN12684770
043255008470ceaef9dbd625af108647	SAMN12684770
0455cc1f83ff1554d7aa41f18242a89d	SAMN12684770
047af8f9eb8e0d97e287a981d0456d9e	SAMN12684770
047c55461871b9d689baf17b99e79fb1	SAMN12684770
049de371338ddd46c58980952221b5e7	SAMN12684770
04b2c9e88ed2aafabe3b53a06a8aba93	SAMN12684770
04ca3c30e04745e09e5dd5c55af2cbcf	SAMN12684770
052a4c33fdb5b007e9b20636ec650ac5	SAMN12684770
05300f82f9dbcedad8d4d935b923724e	SAMN12684770
0562c9c664eb803b1693511e398ce1d2	SAMN12684770
0565d5f062f341bbe63fdf4a173d70f3	SAMN12684770
056fc536e9eb252cdd5721a7833db220	SAMN12684819
05ac6d11b8bfa8dd9c1baafdac33553f	SAMN12684770
05c3b366b9332093af00c9b86c252a0a	SAMN12684770
05d487154d35a562d55ea6aa91458869	SAMN12684770
05de4a332523c6b6f6324f7645c87aff	SAMN12684770
05f4c5d160ebade59d49fa086faa2cc7	SAMN12684819
060da38cae3ba33a4235518d76726490	SAMN12684770
061dd92b4d00f89966b76caa754255ce	SAMN12684770
06338cf73bc6e1c5d5469f774d4a91e8	SAMN12684770
0657a3b778ad0c160c7f19b13fb3999e	SAMN12684770
065ff62e920518643f27dfe3f987a82c	SAMN12684770
0667434efcf9cc6a6f051e5dd0c488e4	SAMN12684770
06762046d499799df06a33391ddce754	SAMN12684770
068071917edcebae7d79245f6cfc53dd	SAMN12684770
06a739776619e9badb7850e828092373	SAMN12684819
06cbc8406a3f9fd0b6ab67ebe0cf5045	SAMN12684819
06e210c8a36dc0170116e4c586249139	SAMN12684770
0717d74a1a3c8dcce0ef7abe0c3021ee	SAMN12684770
0753d1d891ef5ca17653fdd3888f894c	SAMN12684770
07568a521265197b52f5154ed491a746	SAMN12684819
0758f52b2f8cdeda63732c64a2c2a0f5	SAMN12684770
0759d8ad7e84cfd96b61b95fbeb01ba3	SAMN12684770
07a74d132812e342cf0b0be220188ae4	SAMN12684770
07bd20f1469bd31cf1ef98911e7b956d	SAMN12684770
07c4e9761ff3d0feaa491f86644c627c	SAMN12684770
07de7ff5709a98b72d137ecfbcd3cb6b	SAMN12684770
07eed97b632a66b4452406cea13a9ef2	SAMN12684770
07ef7dc4d3d43f8d165f5a5322ed5f52	SAMN12684770
07fd8a7a5b728da30907acb07073f631	SAMN12684770
080a028317e9ea741fa6df33b450cfd2	SAMN12684819
080f63054cf6ab3972d5394d97b52b73	SAMN12684770
0816d4bab767695e7b5dd21adb957099	SAMN12684770
082580d521fffe069d3f42c902f804ff	SAMN12684770
086f3379c1652960c6070b751ff9074a	SAMN12684770
0875ec05a6912e458dc0b9f95be22e3c	SAMN12684770
0884bbc6fcd4e3b767dadd49cbf81808	SAMN12684819
089c2f6ef22df0c269a4b2d93be2a875	SAMN12684770
08b4d1b64ee1b3adc573870b258be8b2	SAMN12684770
08dd081cf453bd29dbae2e32cc596044	SAMN12684770
08f1064db488b55669ceac5d4b79204c	SAMN12684770
0914ff52d6919f3511535acdf1fbab27	SAMN12684770
09166c090e4026c84883863e39a966b8	SAMN12684770
0947d95c4d0ce81c3b78e4492ad4fb74	SAMN12684770
095ca67f1286897977b7ea13502d9b58	SAMN12684819
0983b28f9ce81bbfb03517850728e113	SAMN12684819
098507c9e9392779db03dd3b13b0d9cb	SAMN12684819
099058e2c3be01523a4edf8b93f48ca8	SAMN12684770
09f5da26f1eafe912be21890bb1d2cd7	SAMN12684819
0a0204774b8cc13e6429140cc487ecb9	SAMN12684770
0a111aae7187fee01f29c3b44ff18c7b	SAMN12684770
0a29fbbace6d04d7566234e0ed6942c3	SAMN12684770
