Feature.ID	sample_id	abundance	coupon_id	site	catridge_id	substrate	experiment_type	cartridge_volume	level	Sample Type	Volume Sampled (mL or g)	Date Deployed	Date Sampled	Taxon	Confidence	domain	phylum	class	order	family	genus	species
0025ee6d8ffc3527fae928577cd83974	13.DeMMO1.tube4.12Dec2019	0.010533411982809472	D1T4exp	D1	4	Ellison	rep	medium	800	cartridge	0.99	10-Jun-19	12-Dec-19	d__Bacteria; p__Desulfobacterota	0.994337508358588	Bacteria	Desulfobacterota	NA	NA	NA	NA	NA
0029203f1cf76ad93f6def51854d7834	18.DeMMO1.tube9.12Dec2019	0.012640094379371365	D1T9cont	D1	9	sand	exp	medium	800	cartridge	0.98	10-Jun-19	12-Dec-19	d__Bacteria; p__Patescibacteria; c__Parcubacteria	0.9999971437225481	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA	NA
00893f10c71382d7a46dad5fc3aa0ab7	9.DeMMO3.steri.11June2019	0.6467514957445015	D3fluid	D3	NA	fluid	rep	NA	2000	sterivex	1000	NA	11-Jun-19	d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__BSV26; g__BSV26; s__uncultured_bacterium	0.9998713322784128	Bacteria	Bacteroidota	Kryptonia	 Kryptoniales	BSV26	BSV26	uncultured_bacterium
00893f10c71382d7a46dad5fc3aa0ab7	1.DeMMO1.steri2.12Dec2019	0.0358136007415522	D1fluid	D1	NA	fluid	exp	NA	800	sterivex	1000	NA	12-Dec-19	d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__BSV26; g__BSV26; s__uncultured_bacterium	0.9998713322784128	Bacteria	Bacteroidota	Kryptonia	 Kryptoniales	BSV26	BSV26	uncultured_bacterium
00893f10c71382d7a46dad5fc3aa0ab7	10.DeMMO1.tube1.12Dec2019	0.14114772056964692	D1T1exp	D1	1	Poorman	exp	medium	800	cartridge	0.97	10-Jun-19	12-Dec-19	d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__BSV26; g__BSV26; s__uncultured_bacterium	0.9998713322784128	Bacteria	Bacteroidota	Kryptonia	 Kryptoniales	BSV26	BSV26	uncultured_bacterium
00893f10c71382d7a46dad5fc3aa0ab7	11.DeMMO1.tube2.12Dec2019	0.14114772056964692	D1T2rep	D1	2	Poorman	rep	medium	800	cartridge	0.94	10-Jun-19	12-Dec-19	d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__BSV26; g__BSV26; s__uncultured_bacterium	0.9998713322784128	Bacteria	Bacteroidota	Kryptonia	 Kryptoniales	BSV26	BSV26	uncultured_bacterium
00893f10c71382d7a46dad5fc3aa0ab7	12.DeMMO1.tube3.12Dec2019	0.1116541670177804	D1T3rep	D1	3	Ellison	exp	medium	800	cartridge	1.01	10-Jun-19	12-Dec-19	d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__BSV26; g__BSV26; s__uncultured_bacterium	0.9998713322784128	Bacteria	Bacteroidota	Kryptonia	 Kryptoniales	BSV26	BSV26	uncultured_bacterium
00893f10c71382d7a46dad5fc3aa0ab7	13.DeMMO1.tube4.12Dec2019	0.3033622651049128	D1T4exp	D1	4	Ellison	rep	medium	800	cartridge	0.99	10-Jun-19	12-Dec-19	d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__BSV26; g__BSV26; s__uncultured_bacterium	0.9998713322784128	Bacteria	Bacteroidota	Kryptonia	 Kryptoniales	BSV26	BSV26	uncultured_bacterium
00893f10c71382d7a46dad5fc3aa0ab7	14.DeMMO1.tube5.12Dec2019	0.17696132131119913	D1T5exp	D1	5	Homestake	exp	medium	800	cartridge	0.97	10-Jun-19	12-Dec-19	d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__BSV26; g__BSV26; s__uncultured_bacterium	0.9998713322784128	Bacteria	Bacteroidota	Kryptonia	 Kryptoniales	BSV26	BSV26	uncultured_bacterium
00893f10c71382d7a46dad5fc3aa0ab7	15.DeMMO1.tube6.12Dec2019	0.15800117974214206	D1T6rep	D1	6	Homestake	rep	medium	800	cartridge	1.06	10-Jun-19	12-Dec-19	d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__BSV26; g__BSV26; s__uncultured_bacterium	0.9998713322784128	Bacteria	Bacteroidota	Kryptonia	 Kryptoniales	BSV26	BSV26	uncultured_bacterium
