substrate	element	abundance	total	rel_abundance
Ellison	Al	360527	1851584	19.471274325118383
Ellison	C	0	1851584	0
Ellison	Ca	7182	1851584	0.38788410355673847
Ellison	Eu	0	1851584	0
Ellison	Fe	88766	1851584	4.794057412464139
Ellison	Ge	0	1851584	0
Ellison	Hg	0	1851584	0
Ellison	Ir	0	1851584	0
Ellison	K	217340	1851584	11.738057792679134
Ellison	Mg	60732	1851584	3.2800024195499633
Ellison	Mn	0	1851584	0
Ellison	Mo	0	1851584	0
Ellison	Na	0	1851584	0
Ellison	O	265594	1851584	14.344150737962739
Ellison	P	8693	1851584	0.46948990702015136
Ellison	S	13914	1851584	0.7514646918530296
Ellison	Si	804377	1851584	43.44264154367288
Ellison	Ti	24459	1851584	1.3209770661228442
Ellison	Y	0	1851584	0
Ellison	Zr	0	1851584	0
Homestake	Al	203119	1643329	12.36021514864035
Homestake	C	0	1643329	0
Homestake	Ca	7952	1643329	0.48389579931955196
Homestake	Eu	0	1643329	0
Homestake	Fe	56573	1643329	3.442585142719443
Homestake	Ge	0	1643329	0
Homestake	Hg	752	1643329	0.04576076975456528
Homestake	Ir	872	1643329	0.05306302024731506
Homestake	K	105687	1643329	6.4312745652270475
Homestake	Mg	39395	1643329	2.3972679846823124
Homestake	Mn	1769	1643329	0.10764734268061964
Homestake	Mo	0	1643329	0
Homestake	Na	7605	1643329	0.46278012497801724
Homestake	O	242805	1643329	14.775191090767581
Homestake	P	0	1643329	0
Homestake	S	33848	1643329	2.0597214556549543
Homestake	Si	924030	1643329	56.22915435679647
Homestake	Ti	18922	1643329	1.1514431985317608
Homestake	Y	0	1643329	0
Homestake	Zr	0	1643329	0
Poorman	Al	166604	1810505	9.202073454643871
Poorman	C	7973	1810505	0.4403743706866316
Poorman	Ca	222899	1810505	12.311426922322777
Poorman	Eu	0	1810505	0
Poorman	Fe	189194	1810505	10.449791632721258
Poorman	Ge	0	1810505	0
Poorman	Hg	4860	1810505	0.26843339289314305
Poorman	Ir	3789	1810505	0.20927862668150599
Poorman	K	131844	1810505	7.28216713016534
Poorman	Mg	83225	1810505	4.5967837702740395
Poorman	Mn	18134	1810505	1.0015990013835918
Poorman	Mo	51821	1810505	2.862240093233656
Poorman	Na	31307	1810505	1.7291860558242038
Poorman	O	177387	1810505	9.79765314097448
Poorman	P	12929	1810505	0.7141101515875405
Poorman	S	285697	1810505	15.779961944319403
Poorman	Si	389001	1810505	21.485773306342708
Poorman	Ti	21776	1810505	1.2027583464282066
Poorman	Y	6524	1810505	0.3603414516944168
Poorman	Zr	5541	1810505	0.30604720782323164
Yates	Al	302580	2380311	12.711784300454857
Yates	C	0	2380311	0
Yates	Ca	309422	2380311	12.999225731427533
Yates	Eu	2035	2380311	0.08549303011245168
Yates	Fe	231064	2380311	9.707302953269553
Yates	Ge	1040	2380311	0.0436917696889188
Yates	Hg	0	2380311	0
Yates	Ir	1258	2380311	0.05285023679678832
Yates	K	39560	2380311	1.6619677008592575
Yates	Mg	121801	2380311	5.117020422961537
Yates	Mn	12109	2380311	0.508715037656844
Yates	Mo	0	2380311	0
Yates	Na	53985	2380311	2.267980948707963
Yates	O	331464	2380311	13.92523918093056
Yates	P	0	2380311	0
Yates	S	0	2380311	0
Yates	Si	927108	2380311	38.94902808918667
Yates	Ti	40394	2380311	1.6970051392444099
Yates	Y	6491	2380311	0.2726954587026653
Yates	Zr	0	2380311	0
