sample_id,coupon_id,site,catridge_id,substrate,experiment_type,cartridge_volume,level,Sample Type,Volume Sampled (mL or g),Date Deployed,Date Sampled
10.DeMMO1.tube1.12Dec2019,D1T1exp,D1,1,Poorman,exp,medium,800,cartridge,0.97,10-Jun-19,12-Dec-19
11.DeMMO1.tube2.12Dec2019,D1T2rep,D1,2,Poorman,rep,medium,800,cartridge,0.94,10-Jun-19,12-Dec-19
12.DeMMO1.tube3.12Dec2019,D1T3rep,D1,3,Ellison,exp,medium,800,cartridge,1.01,10-Jun-19,12-Dec-19
13.DeMMO1.tube4.12Dec2019,D1T4exp,D1,4,Ellison,rep,medium,800,cartridge,0.99,10-Jun-19,12-Dec-19
14.DeMMO1.tube5.12Dec2019,D1T5exp,D1,5,Homestake,exp,medium,800,cartridge,0.97,10-Jun-19,12-Dec-19
15.DeMMO1.tube6.12Dec2019,D1T6rep,D1,6,Homestake,rep,medium,800,cartridge,1.06,10-Jun-19,12-Dec-19
16.DeMMO1.tube7.12Dec2019,D1T7rep,D1,7,Yates,exp,medium,800,cartridge,0.96,10-Jun-19,12-Dec-19
17.DeMMO1.tube8.12Dec2019,D1T8exp,D1,8,Yates,rep,medium,800,cartridge,0.98,10-Jun-19,12-Dec-19
18.DeMMO1.tube9.12Dec2019,D1T9cont,D1,9,sand,exp,medium,800,cartridge,0.98,10-Jun-19,12-Dec-19
19.DeMMO1.tube10.12Dec2019,D1T10cont,D1,10,sand,rep,large,800,cartridge,0.98,10-Jun-19,12-Dec-19
22.DeMMO3.Tube13.9Dec2019,D3T13exp,D3,13,Poorman,exp,medium,2000,cartridge,1,11-Jun-19,9-Dec-19
23.DeMMO3.Tube14.9Dec2019,D3T14rep,D3,14,Poorman,rep,medium,2000,cartridge,0.97,11-Jun-19,9-Dec-19
24.DeMMO3.Tube15.9Dec2019,D3T15exp,D3,15,Ellison,exp,medium,2000,cartridge,1.02,11-Jun-19,9-Dec-19
24.DeMMO3.Tube15.9Dec2019,D3T15rep,D3,15,Ellison,exp,medium,2000,cartridge,1.02,11-Jun-19,9-Dec-19
25.DeMMO3.Tube16.9Dec2019,D3T16exp,D3,16,Ellison,rep,medium,2000,cartridge,1.01,11-Jun-19,9-Dec-19
26.DeMMO3.Tube17.9Dec2019,D3T17exp,D3,17,Homestake,exp,medium,2000,cartridge,1.02,11-Jun-19,9-Dec-19
27.DeMMO3.Tube18.9Dec2019,D3T18exp,D3,18,Homestake,rep,medium,2000,cartridge,0.97,11-Jun-19,9-Dec-19
28.DeMMO3.Tube19.9Dec2019,D3T19rep,D3,19,Yates,exp,medium,2000,cartridge,0.95,11-Jun-19,9-Dec-19
29.DeMMO3.Tube20.9Dec2019,D3T20rep,D3,20,Yates,rep,medium,2000,cartridge,1.01,11-Jun-19,9-Dec-19
30.DeMMO3.Tube21.9Dec2019,D3T21cont,D3,21,sand,exp,medium,2000,cartridge,0.96,11-Jun-19,9-Dec-19
31.DeMMO3.Tube22.9Dec2019,D3T22cont,D3,22,sand,rep,large,2000,cartridge,0.95,11-Jun-19,9-Dec-19
1.DeMMO1.steri2.12Dec2019,D1fluid,D1,,fluid,exp,,800,sterivex,1000,,12-Dec-19
3.DeMMO3.steri.9Dec2019,D3fluid,D3,,fluid,exp,,2000,sterivex,1000,,9-Dec-19
7.DeMMO1.steri2.10June2019,D1fluid,D1,,fluid,rep,,800,sterivex,1000,,10-Jun-19
9.DeMMO3.steri.11June2019,D3fluid,D3,,fluid,rep,,2000,sterivex,1000,,11-Jun-19
,Homestake,,,Homestake,,,,,,,
,Ellison,,,Ellison,,,,,,,
,Poorman,,,Poorman,,,,,,,
,Yates,,,Yates,,,,,,,
