substrate,coupon_id,model,p.value,Deviance
Poorman,D1T1exp,Ca+S,2.8806287270050153e-8,34.72534433128476
Ellison,D1T3rep,Ca+Mn+Ti,0.04432131025277122,8.083292122619014
Ellison,D1T4exp,S,0.02084408474118097,5.339781567777663
Homestake,D1T5exp,Fe+Mg+Mn+S,1.5541289370494682e-35,169.1984788663915
Homestake,D1T6rep,S,0.012176503158266206,6.284986123146609
Yates,D1T7rep,Al+K+Ti,4.0640907436215266e-4,18.166471255490023
Yates,D1T8exp,Al+Na+Ti+W+Y,0.0162431377951763,13.90213905470955
Poorman,D3T14rep,Mn+Na+S+Ti,1.318100600742548e-9,47.30385847622017
Ellison,D3T16exp,S+Si,1.6571368089986072e-14,63.46220000521703
Homestake,D3T17exp,Fe+Mn+P+S+Si,1.766782013179304e-32,158.81927826852802
Homestake,D3T18exp,Al+Hg+S,0.0011206824980178336,16.024994107970997
Yates,D3T19rep,As+Ca+Er+Fe+S,0.0037409788985925765,17.437278869222155
Yates,D3T20rep,Fe+Na,4.446260460664259e-5,20.041724135997583
