"Label"	"Date and Time"	"Document"	"Source"	"Scale"	"Scale Units"	"Scale Factor"	"Count"	"Area"	"Perimeter"	"Circularity"	"Height"	"Width"	"Gray Value (Minimum)"	"Gray Value (Maximum)"	"Gray Value (Mean)"	"Gray Value (Median)"	"Integrated Density"	"Histogram"
"Measurement 59"	"2021-01-06T11:27:51-06:00"	"D1T10_002_cells.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"	"153"	"63.493802"	"608.556403"	"0.002154"	"46.545455"	"68.863636"	"102.000000"	"134.000000"	"112.519248"	"109.000000"	"3457829.000000"	"Histogram-155.csv"
"Measurement 59 - Feature 1"	"2021-01-06T11:27:51-06:00"	"D1T10_002_cells.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.223140"	"2.263590"	"0.547259"	"0.818182"	"0.500000"	"107.000000"	"133.000000"	"111.898148"	"108.000000"	"12085.000000"	"Histogram-156.csv"
"Measurement 59 - Feature 2"	"2021-01-06T11:27:51-06:00"	"D1T10_002_cells.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"1.526860"	"13.826859"	"0.100360"	"1.636364"	"5.590909"	"107.000000"	"134.000000"	"112.408660"	"109.000000"	"83070.000000"	"Histogram-157.csv"
"Measurement 59 - Feature 3"	"2021-01-06T11:27:51-06:00"	"D1T10_002_cells.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.506198"	"4.757292"	"0.281068"	"1.318182"	"1.772727"	"107.000000"	"132.000000"	"112.551020"	"109.000000"	"27575.000000"	"Histogram-158.csv"
"Measurement 59 - Feature 4"	"2021-01-06T11:27:51-06:00"	"D1T10_002_cells.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.200413"	"2.190563"	"0.524837"	"0.318182"	"0.863636"	"107.000000"	"133.000000"	"112.329897"	"109.000000"	"10896.000000"	"Histogram-159.csv"
"Measurement 59 - Feature 5"	"2021-01-06T11:27:51-06:00"	"D1T10_002_cells.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.415289"	"4.077204"	"0.313932"	"0.545455"	"1.772727"	"107.000000"	"132.000000"	"112.442786"	"109.000000"	"22601.000000"	"Histogram-160.csv"
"Measurement 59 - Feature 6"	"2021-01-06T11:27:51-06:00"	"D1T10_002_cells.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.080579"	"1.201592"	"0.701318"	"0.272727"	"0.454545"	"107.000000"	"129.000000"	"113.512821"	"109.000000"	"4427.000000"	"Histogram-161.csv"
"Measurement 59 - Feature 7"	"2021-01-06T11:27:51-06:00"	"D1T10_002_cells.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.599174"	"5.141094"	"0.284873"	"1.000000"	"1.545455"	"107.000000"	"133.000000"	"112.900000"	"109.000000"	"32741.000000"	"Histogram-162.csv"
"Measurement 59 - Feature 8"	"2021-01-06T11:27:51-06:00"	"D1T10_002_cells.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.407025"	"3.809045"	"0.352532"	"0.409091"	"1.681818"	"107.000000"	"133.000000"	"113.076142"	"109.000000"	"22276.000000"	"Histogram-163.csv"
"Measurement 59 - Feature 9"	"2021-01-06T11:27:51-06:00"	"D1T10_002_cells.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.617769"	"5.828427"	"0.228525"	"2.409091"	"1.090909"	"107.000000"	"132.000000"	"112.471572"	"109.000000"	"33629.000000"	"Histogram-164.csv"
"Measurement 59 - Feature 10"	"2021-01-06T11:27:51-06:00"	"D1T10_002_cells.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.150826"	"1.769105"	"0.605592"	"0.636364"	"0.454545"	"107.000000"	"131.000000"	"112.643836"	"109.000000"	"8223.000000"	"Histogram-165.csv"
"Measurement 59 - Feature 11"	"2021-01-06T11:27:51-06:00"	"D1T10_002_cells.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.487603"	"4.717744"	"0.275301"	"1.909091"	"0.909091"	"107.000000"	"133.000000"	"112.639831"	"109.000000"	"26583.000000"	"Histogram-166.csv"
"Measurement 59 - Feature 12"	"2021-01-06T11:27:51-06:00"	"D1T10_002_cells.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.283058"	"2.899562"	"0.423078"	"0.863636"	"1.045455"	"107.000000"	"133.000000"	"112.518248"	"109.000000"	"15415.000000"	"Histogram-167.csv"
