"Label"	"Date and Time"	"Document"	"Source"	"Scale"	"Scale Units"	"Scale Factor"	"Count"	"Area"	"Perimeter"	"Circularity"	"Height"	"Width"	"Gray Value (Minimum)"	"Gray Value (Maximum)"	"Gray Value (Mean)"	"Gray Value (Median)"	"Integrated Density"	"Histogram"
"Measurement 62"	"2021-01-06T11:29:42-06:00"	"D1T10_cells.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"	"257"	"64.322314"	"715.238898"	"0.001580"	"46.545455"	"69.818182"	"98.000000"	"134.000000"	"111.160606"	"107.000000"	"3460652.000000"	"Histogram-259.csv"
"Measurement 62 - Feature 1"	"2021-01-06T11:29:42-06:00"	"D1T10_cells.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.258264"	"2.995040"	"0.361801"	"0.681818"	"1.181818"	"105.000000"	"133.000000"	"111.632000"	"108.000000"	"13954.000000"	"Histogram-260.csv"
"Measurement 62 - Feature 2"	"2021-01-06T11:29:42-06:00"	"D1T10_cells.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.243802"	"2.833387"	"0.381623"	"0.500000"	"1.136364"	"105.000000"	"131.000000"	"111.381356"	"108.000000"	"13143.000000"	"Histogram-261.csv"
"Measurement 62 - Feature 3"	"2021-01-06T11:29:42-06:00"	"D1T10_cells.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.175620"	"2.046401"	"0.526990"	"0.863636"	"0.272727"	"105.000000"	"133.000000"	"112.317647"	"108.000000"	"9547.000000"	"Histogram-262.csv"
"Measurement 62 - Feature 4"	"2021-01-06T11:29:42-06:00"	"D1T10_cells.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.196281"	"2.225935"	"0.497810"	"0.954545"	"0.318182"	"105.000000"	"132.000000"	"112.368421"	"108.000000"	"10675.000000"	"Histogram-263.csv"
"Measurement 62 - Feature 5"	"2021-01-06T11:29:42-06:00"	"D1T10_cells.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.177686"	"2.150623"	"0.482763"	"0.318182"	"0.863636"	"105.000000"	"133.000000"	"111.313953"	"107.000000"	"9573.000000"	"Histogram-264.csv"
"Measurement 62 - Feature 6"	"2021-01-06T11:29:42-06:00"	"D1T10_cells.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.132231"	"1.707107"	"0.570195"	"0.409091"	"0.590909"	"105.000000"	"131.000000"	"111.312500"	"107.000000"	"7124.000000"	"Histogram-265.csv"
"Measurement 62 - Feature 7"	"2021-01-06T11:29:42-06:00"	"D1T10_cells.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.425620"	"4.446909"	"0.270468"	"1.227273"	"1.681818"	"105.000000"	"133.000000"	"111.650485"	"108.000000"	"23000.000000"	"Histogram-266.csv"
"Measurement 62 - Feature 8"	"2021-01-06T11:29:42-06:00"	"D1T10_cells.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.173554"	"1.640540"	"0.810345"	"0.409091"	"0.590909"	"105.000000"	"133.000000"	"109.916667"	"106.000000"	"9233.000000"	"Histogram-267.csv"
"Measurement 62 - Feature 9"	"2021-01-06T11:29:42-06:00"	"D1T10_cells.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.349174"	"3.686549"	"0.322858"	"1.318182"	"1.090909"	"105.000000"	"133.000000"	"111.633136"	"108.000000"	"18866.000000"	"Histogram-268.csv"
