"Label"	"Date and Time"	"Document"	"Source"	"Scale"	"Scale Units"	"Scale Factor"	"Count"	"Area"	"Perimeter"	"Circularity"	"Height"	"Width"	"Gray Value (Minimum)"	"Gray Value (Maximum)"	"Gray Value (Mean)"	"Gray Value (Median)"	"Integrated Density"	"Histogram"
"Measurement 88"	"2021-01-06T11:57:23-06:00"	"D1T10_009_biogenic.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"	"90"	"190.865702"	"1345.571572"	"0.001325"	"46.545455"	"68.863636"	"205.000000"	"232.000000"	"217.237413"	"216.000000"	"20068175.000000"	"Histogram-1.csv"
"Measurement 88 - Feature 1"	"2021-01-06T11:57:23-06:00"	"D1T10_009_biogenic.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.293388"	"3.325589"	"0.333362"	"1.363636"	"0.545455"	"215.000000"	"223.000000"	"217.330986"	"216.000000"	"30861.000000"	"Histogram-2.csv"
"Measurement 88 - Feature 2"	"2021-01-06T11:57:23-06:00"	"D1T10_009_biogenic.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"3.198347"	"32.687131"	"0.037617"	"6.090909"	"9.136364"	"215.000000"	"227.000000"	"217.892765"	"217.000000"	"337298.000000"	"Histogram-3.csv"
"Measurement 88 - Feature 3"	"2021-01-06T11:57:23-06:00"	"D1T10_009_biogenic.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.584711"	"4.627227"	"0.343170"	"2.045455"	"0.454545"	"215.000000"	"229.000000"	"219.045936"	"217.000000"	"61990.000000"	"Histogram-4.csv"
"Measurement 88 - Feature 4"	"2021-01-06T11:57:23-06:00"	"D1T10_009_biogenic.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.303719"	"2.733342"	"0.510851"	"0.772727"	"1.000000"	"215.000000"	"229.000000"	"218.612245"	"217.000000"	"32136.000000"	"Histogram-5.csv"
"Measurement 88 - Feature 5"	"2021-01-06T11:57:23-06:00"	"D1T10_009_biogenic.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"3.146694"	"19.362785"	"0.105470"	"2.454545"	"5.000000"	"215.000000"	"230.000000"	"218.653972"	"217.000000"	"333010.000000"	"Histogram-6.csv"
"Measurement 88 - Feature 6"	"2021-01-06T11:57:23-06:00"	"D1T10_009_biogenic.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"10.607438"	"64.159883"	"0.032381"	"9.136364"	"10.181818"	"215.000000"	"231.000000"	"218.915466"	"217.000000"	"1123912.000000"	"Histogram-7.csv"
"Measurement 88 - Feature 7"	"2021-01-06T11:57:23-06:00"	"D1T10_009_biogenic.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"12.787190"	"57.847932"	"0.048019"	"7.136364"	"9.181818"	"210.000000"	"228.000000"	"213.526095"	"211.000000"	"1321513.000000"	"Histogram-8.csv"
"Measurement 88 - Feature 8"	"2021-01-06T11:57:23-06:00"	"D1T10_009_biogenic.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"3.555785"	"18.886965"	"0.125262"	"2.181818"	"4.136364"	"210.000000"	"229.000000"	"215.714120"	"216.000000"	"371244.000000"	"Histogram-9.csv"
"Measurement 88 - Feature 9"	"2021-01-06T11:57:23-06:00"	"D1T10_009_biogenic.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"6.035124"	"39.873910"	"0.047700"	"6.500000"	"6.090909"	"210.000000"	"226.000000"	"213.618966"	"212.000000"	"623981.000000"	"Histogram-10.csv"
"Measurement 88 - Feature 10"	"2021-01-06T11:57:23-06:00"	"D1T10_009_biogenic.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.650826"	"8.958492"	"0.101907"	"3.500000"	"2.090909"	"210.000000"	"213.000000"	"210.726984"	"211.000000"	"66379.000000"	"Histogram-11.csv"
"Measurement 88 - Feature 11"	"2021-01-06T11:57:23-06:00"	"D1T10_009_biogenic.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"3.097107"	"25.889182"	"0.058067"	"7.545455"	"7.136364"	"215.000000"	"224.000000"	"217.349566"	"217.000000"	"325807.000000"	"Histogram-12.csv"
