Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
Measurement 7	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22	486	63.076446	869.060853	0.001049	33.681818	239.772727	107	108	107.120279	107	3270275	Histogram-1.csv
Measurement 7 - Feature 1	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.095041	1.465575	0.556041	0.227273	0.545455	107	108	107.086957	107	4926	Histogram-2.csv
Measurement 7 - Feature 2	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.163223	2.347647	0.372157	0.818182	0.681818	107	108	107.101266	107	8461	Histogram-3.csv
Measurement 7 - Feature 3	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.82438	8.202309	0.15398	2.272727	2.954545	107	108	107.130326	107	42745	Histogram-4.csv
Measurement 7 - Feature 4	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.107438	1.228219	0.894986	0.363636	0.363636	107	108	107.153846	107	5572	Histogram-5.csv
Measurement 7 - Feature 5	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.183884	2.511583	0.366319	0.772727	0.909091	107	108	107.067416	107	9529	Histogram-6.csv
Measurement 7 - Feature 6	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.035124	0.877896	0.5727	0.272727	0.272727	107	108	107.058824	107	1820	Histogram-7.csv
Measurement 7 - Feature 7	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.097107	1.496378	0.544979	0.454545	0.5	107	108	107.085106	107	5033	Histogram-8.csv
Measurement 7 - Feature 8	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.033058	0.736018	0.766846	0.227273	0.227273	107	108	107.1875	107	1715	Histogram-9.csv
Measurement 7 - Feature 9	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.072314	1.172681	0.660804	0.363636	0.409091	107	108	107.057143	107	3747	Histogram-10.csv
Measurement 7 - Feature 10	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.053719	0.982118	0.699859	0.363636	0.227273	107	108	107.115385	107	2785	Histogram-11.csv
Measurement 7 - Feature 11	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.008264	0.363636	0.785398	0.090909	0.090909	107	107	107	107	428	Histogram-12.csv
Measurement 7 - Feature 12	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.006198	0.323696	0.743379	0.090909	0.090909	107	107	107	107	321	Histogram-13.csv
Measurement 7 - Feature 13	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.047521	1.332441	0.336354	0.5	0.272727	107	107	107	107	2461	Histogram-14.csv
Measurement 7 - Feature 14	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.035124	0.915552	0.52656	0.272727	0.318182	107	108	107.176471	107	1822	Histogram-15.csv
Measurement 7 - Feature 15	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.024793	0.749331	0.554879	0.272727	0.181818	107	108	107.083333	107	1285	Histogram-16.csv
Measurement 7 - Feature 16	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.047521	0.984402	0.616236	0.318182	0.227273	107	108	107.130435	107	2464	Histogram-17.csv
Measurement 7 - Feature 17	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.02686	0.751615	0.597471	0.136364	0.272727	107	108	107.230769	107	1394	Histogram-18.csv
Measurement 7 - Feature 18	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.020661	0.556484	0.838416	0.181818	0.136364	107	108	107.2	107	1072	Histogram-19.csv
Measurement 7 - Feature 19	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.035124	0.946747	0.492432	0.136364	0.363636	107	108	107.176471	107	1822	Histogram-20.csv
