Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
Measurement 8	2021-01-05T17:29:07-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22	73	5.489669	82.664938	0.010095	56.227273	97.318182	45	132	99.188182	104	263543	Histogram-1.csv
Measurement 8 - Feature 1	2021-01-05T17:29:07-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.066116	1.044116	0.762108	0.318182	0.363636	90	108	103.125	105	3300	Histogram-2.csv
Measurement 8 - Feature 2	2021-01-05T17:29:07-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.076446	1.188279	0.680345	0.363636	0.363636	66	108	99.378378	103	3677	Histogram-3.csv
Measurement 8 - Feature 3	2021-01-05T17:29:07-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.057851	0.917836	0.862964	0.318182	0.227273	66	108	102.5	107	2870	Histogram-4.csv
Measurement 8 - Feature 4	2021-01-05T17:29:07-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.068182	1.099654	0.708543	0.272727	0.363636	71	107	101.151515	106	3338	Histogram-5.csv
Measurement 8 - Feature 5	2021-01-05T17:29:07-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.059917	0.957776	0.820795	0.318182	0.227273	73	107	98.931034	103	2869	Histogram-6.csv
Measurement 8 - Feature 6	2021-01-05T17:29:07-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.14876	1.89767	0.519106	0.636364	0.545455	75	106	98.041667	100	7059	Histogram-7.csv
Measurement 8 - Feature 7	2021-01-05T17:29:07-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.041322	0.762644	0.892792	0.227273	0.227273	79	107	93.55	92	1871	Histogram-8.csv
Measurement 8 - Feature 8	2021-01-05T17:29:07-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.057851	0.995432	0.733668	0.363636	0.227273	97	108	104.714286	107	2932	Histogram-9.csv
Measurement 8 - Feature 9	2021-01-05T17:29:07-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.047521	0.893493	0.748014	0.318182	0.181818	80	107	99.695652	104	2293	Histogram-10.csv
Measurement 8 - Feature 10	2021-01-05T17:29:07-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.154959	1.784703	0.611356	0.681818	0.363636	71	107	96.346667	99	7226	Histogram-11.csv
