"Label"	"Date and Time"	"Document"	"Source"	"Scale"	"Scale Units"	"Scale Factor"	"Count"	"Area"	"Perimeter"	"Circularity"	"Height"	"Width"	"Gray Value (Minimum)"	"Gray Value (Maximum)"	"Gray Value (Mean)"	"Gray Value (Median)"	"Integrated Density"	"Histogram"
"Measurement 73"	"2021-01-06T11:39:01-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"	"178"	"150.504132"	"1945.453329"	"0.000500"	"58.181818"	"110.818182"	"194.000000"	"218.000000"	"209.015156"	"211.000000"	"15225500.000000"	"Histogram-1.csv"
"Measurement 73 - Feature 1"	"2021-01-06T11:39:01-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.764463"	"9.225543"	"0.112871"	"0.863636"	"4.181818"	"201.000000"	"202.000000"	"201.481081"	"201.000000"	"74548.000000"	"Histogram-2.csv"
"Measurement 73 - Feature 2"	"2021-01-06T11:39:01-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.533058"	"6.484957"	"0.159283"	"2.818182"	"0.590909"	"201.000000"	"202.000000"	"201.465116"	"201.000000"	"51978.000000"	"Histogram-3.csv"
"Measurement 73 - Feature 3"	"2021-01-06T11:39:01-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"2.000000"	"26.499703"	"0.035790"	"3.863636"	"6.136364"	"211.000000"	"212.000000"	"211.138430"	"211.000000"	"204382.000000"	"Histogram-4.csv"
"Measurement 73 - Feature 4"	"2021-01-06T11:39:01-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.559917"	"7.479996"	"0.125757"	"1.681818"	"2.545455"	"211.000000"	"212.000000"	"211.107011"	"211.000000"	"57210.000000"	"Histogram-5.csv"
"Measurement 73 - Feature 5"	"2021-01-06T11:39:01-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"1.431818"	"16.097694"	"0.069434"	"3.636364"	"2.409091"	"201.000000"	"202.000000"	"201.479076"	"201.000000"	"139625.000000"	"Histogram-6.csv"
"Measurement 73 - Feature 6"	"2021-01-06T11:39:01-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.456612"	"5.821966"	"0.169285"	"2.454545"	"0.909091"	"201.000000"	"202.000000"	"201.438914"	"201.000000"	"44518.000000"	"Histogram-7.csv"
"Measurement 73 - Feature 7"	"2021-01-06T11:39:01-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"7.818182"	"86.633810"	"0.013090"	"9.590909"	"21.636364"	"201.000000"	"218.000000"	"207.942653"	"202.000000"	"786855.000000"	"Histogram-8.csv"
"Measurement 73 - Feature 8"	"2021-01-06T11:39:01-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.229339"	"2.955492"	"0.329935"	"0.318182"	"1.272727"	"201.000000"	"202.000000"	"201.513514"	"202.000000"	"22368.000000"	"Histogram-9.csv"
"Measurement 73 - Feature 9"	"2021-01-06T11:39:01-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"1.359504"	"17.516868"	"0.055677"	"2.818182"	"5.409091"	"217.000000"	"218.000000"	"217.755319"	"218.000000"	"143283.000000"	"Histogram-10.csv"
"Measurement 73 - Feature 10"	"2021-01-06T11:39:01-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.380165"	"4.657638"	"0.220217"	"1.181818"	"1.772727"	"201.000000"	"202.000000"	"201.489130"	"201.000000"	"37074.000000"	"Histogram-11.csv"
