Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
Measurement 10	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22	294	67.055785	880.900365	0.001086	83.909091	79.045455	43	134	104.560807	106	3393521	Histogram-1.csv
Measurement 10 - Feature 1	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.231405	3.055146	0.311544	1.363636	0.272727	93	128	107.616071	107	12053	Histogram-2.csv
Measurement 10 - Feature 2	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.243802	3.436272	0.259461	1.363636	0.727273	97	129	108.262712	107	12775	Histogram-3.csv
Measurement 10 - Feature 3	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.376033	4.855054	0.200469	1.545455	1.454545	57	130	101.450549	105	18464	Histogram-4.csv
Measurement 10 - Feature 4	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.237603	3.31456	0.271776	0.409091	1.454545	96	131	106.434783	106	12240	Histogram-5.csv
Measurement 10 - Feature 5	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.225207	3.196632	0.276953	1.136364	0.954545	70	128	107.733945	107	11743	Histogram-6.csv
Measurement 10 - Feature 6	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.179752	2.392155	0.394734	1	0.409091	71	106	96.965517	100	8436	Histogram-7.csv
Measurement 10 - Feature 7	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.068182	1.086341	0.726016	0.272727	0.363636	58	112	95.545455	98	3153	Histogram-8.csv
Measurement 10 - Feature 8	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.17562	2.385303	0.387879	0.681818	0.863636	78	113	99.764706	103	8480	Histogram-9.csv
Measurement 10 - Feature 9	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.045455	0.789271	0.916927	0.227273	0.227273	95	118	107.318182	107	2361	Histogram-10.csv
Measurement 10 - Feature 10	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.045455	0.813613	0.862881	0.318182	0.181818	59	111	97.136364	98	2137	Histogram-11.csv
Measurement 10 - Feature 11	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.121901	1.34347	0.848712	0.363636	0.454545	65	127	103.254237	107	6092	Histogram-12.csv
Measurement 10 - Feature 12	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.347107	2.984011	0.489861	0.681818	1.136364	84	132	105.60119	107	17741	Histogram-13.csv
Measurement 10 - Feature 13	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.252066	3.156692	0.317878	1	1.090909	83	117	101.098361	103	12334	Histogram-14.csv
Measurement 10 - Feature 14	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.322314	4.154408	0.234677	1.636364	1	70	111	99.621795	103	15541	Histogram-15.csv
Measurement 10 - Feature 15	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.714876	8.952032	0.112098	3.681818	1.318182	61	121	101.291908	103	35047	Histogram-16.csv
Measurement 10 - Feature 16	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.014463	0.569797	0.559786	0.090909	0.227273	107	107	107	107	749	Histogram-17.csv
Measurement 10 - Feature 17	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.245868	3.272335	0.288533	1.318182	0.590909	63	114	98.857143	103	11764	Histogram-18.csv
