"Label"	"Date and Time"	"Document"	"Source"	"Scale"	"Scale Units"	"Scale Factor"	"Count"	"Area"	"Perimeter"	"Circularity"	"Height"	"Width"	"Gray Value (Minimum)"	"Gray Value (Maximum)"	"Gray Value (Mean)"	"Gray Value (Median)"	"Integrated Density"	"Histogram"
"Measurement 74"	"2021-01-06T11:42:18-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"	"82"	"72.931818"	"699.220043"	"0.001875"	"80.227273"	"75.772727"	"200.000000"	"202.000000"	"201.161506"	"201.000000"	"7100800.000000"	"Histogram-1.csv"
"Measurement 74 - Feature 1"	"2021-01-06T11:42:18-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"1.987603"	"18.945896"	"0.069584"	"3.272727"	"4.863636"	"200.000000"	"201.000000"	"200.425156"	"200.000000"	"192809.000000"	"Histogram-2.csv"
"Measurement 74 - Feature 2"	"2021-01-06T11:42:18-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.438017"	"4.746655"	"0.244301"	"0.772727"	"1.954545"	"200.000000"	"201.000000"	"200.400943"	"200.000000"	"42485.000000"	"Histogram-3.csv"
"Measurement 74 - Feature 3"	"2021-01-06T11:42:18-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.533058"	"5.491417"	"0.222134"	"1.227273"	"2.000000"	"200.000000"	"201.000000"	"200.449612"	"200.000000"	"51716.000000"	"Histogram-4.csv"
"Measurement 74 - Feature 4"	"2021-01-06T11:42:18-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.729339"	"7.508907"	"0.162550"	"2.136364"	"1.454545"	"200.000000"	"201.000000"	"200.424929"	"200.000000"	"70750.000000"	"Histogram-5.csv"
"Measurement 74 - Feature 5"	"2021-01-06T11:42:18-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.200413"	"2.181426"	"0.529243"	"0.636364"	"0.727273"	"201.000000"	"202.000000"	"201.432990"	"201.000000"	"19539.000000"	"Histogram-6.csv"
"Measurement 74 - Feature 6"	"2021-01-06T11:42:18-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.617769"	"3.906415"	"0.508720"	"0.954545"	"1.045455"	"201.000000"	"202.000000"	"201.424749"	"201.000000"	"60226.000000"	"Histogram-7.csv"
"Measurement 74 - Feature 7"	"2021-01-06T11:42:18-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"3.574380"	"38.432028"	"0.030411"	"2.500000"	"17.772727"	"201.000000"	"202.000000"	"201.415029"	"201.000000"	"348448.000000"	"Histogram-8.csv"
"Measurement 74 - Feature 8"	"2021-01-06T11:42:18-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"2.442149"	"23.811979"	"0.054124"	"6.909091"	"5.545455"	"201.000000"	"202.000000"	"201.414552"	"201.000000"	"238072.000000"	"Histogram-9.csv"
"Measurement 74 - Feature 9"	"2021-01-06T11:42:18-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.318182"	"3.662598"	"0.298062"	"0.590909"	"1.500000"	"200.000000"	"201.000000"	"200.396104"	"200.000000"	"30861.000000"	"Histogram-10.csv"
"Measurement 74 - Feature 10"	"2021-01-06T11:42:18-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.435950"	"4.666775"	"0.251544"	"1.863636"	"0.863636"	"200.000000"	"201.000000"	"200.421801"	"200.000000"	"42289.000000"	"Histogram-11.csv"
"Measurement 74 - Feature 11"	"2021-01-06T11:42:18-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.384298"	"3.750831"	"0.343259"	"1.272727"	"1.181818"	"200.000000"	"201.000000"	"200.381720"	"200.000000"	"37271.000000"	"Histogram-12.csv"
"Measurement 74 - Feature 12"	"2021-01-06T11:42:18-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.700413"	"7.192455"	"0.170141"	"0.818182"	"2.727273"	"200.000000"	"201.000000"	"200.424779"	"200.000000"	"67944.000000"	"Histogram-13.csv"
"Measurement 74 - Feature 13"	"2021-01-06T11:42:18-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.599174"	"5.792664"	"0.224391"	"1.181818"	"1.545455"	"201.000000"	"202.000000"	"201.455172"	"201.000000"	"58422.000000"	"Histogram-14.csv"
"Measurement 74 - Feature 14"	"2021-01-06T11:42:18-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.254132"	"3.055146"	"0.342142"	"0.500000"	"1.227273"	"201.000000"	"202.000000"	"201.398374"	"201.000000"	"24772.000000"	"Histogram-15.csv"
"Measurement 74 - Feature 15"	"2021-01-06T11:42:18-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.954545"	"9.499379"	"0.132928"	"1.500000"	"3.772727"	"200.000000"	"201.000000"	"200.385281"	"200.000000"	"92578.000000"	"Histogram-16.csv"
