Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
Measurement 11	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22	592	376.303719	1791.683554	0.001473	32.5	237.863636	3	255	105.008126	107	19125235	Histogram-1.csv
Measurement 11 - Feature 1	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.566116	3.664883	0.529657	0.818182	1.090909	33	165	102.99635	107	28221	Histogram-2.csv
Measurement 11 - Feature 2	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		1.163223	5.901846	0.41966	1.318182	1.181818	81	252	112.996448	107	63617	Histogram-3.csv
Measurement 11 - Feature 3	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		1.280992	5.556092	0.521456	0.954545	2	44	165	103.374194	107	64092	Histogram-4.csv
Measurement 11 - Feature 4	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		1.725207	5.61809	0.686868	1.227273	1.772727	19	164	104.861078	107	87559	Histogram-5.csv
Measurement 11 - Feature 5	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.221074	2.185995	0.581367	0.681818	0.545455	107	255	131.82243	110	14105	Histogram-6.csv
Measurement 11 - Feature 6	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.508264	2.882072	0.768935	0.772727	0.954545	29	174	108.207317	107	26619	Histogram-7.csv
Measurement 11 - Feature 7	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.506198	3.259022	0.598902	0.772727	1.090909	44	158	105.004082	107	25726	Histogram-8.csv
Measurement 11 - Feature 8	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.188017	1.629511	0.889798	0.454545	0.5	68	144	106.076923	107	9653	Histogram-9.csv
Measurement 11 - Feature 9	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.179752	1.605169	0.876683	0.454545	0.454545	45	154	108.195402	107	9413	Histogram-10.csv
Measurement 11 - Feature 10	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.743802	4.096978	0.556852	1.090909	1.045455	48	168	109.855556	107	39548	Histogram-11.csv
Measurement 11 - Feature 11	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		1.161157	5.83528	0.428526	1.863636	1.181818	34	168	104.425267	107	58687	Histogram-12.csv
Measurement 11 - Feature 12	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.669421	3.267767	0.787784	1	1	37	147	109.57716	107	35503	Histogram-13.csv
Measurement 11 - Feature 13	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.683884	3.585003	0.668673	0.636364	1.363636	46	146	103.773414	105	34349	Histogram-14.csv
Measurement 11 - Feature 14	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.237603	2.34347	0.54368	0.681818	0.590909	29	166	107.582609	107	12372	Histogram-15.csv
Measurement 11 - Feature 15	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.107438	1.25713	0.854295	0.363636	0.318182	79	149	109.307692	107	5684	Histogram-16.csv
