Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
Measurement 12	2021-01-05T17:38:33-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22	73	9.63843	129.01656	0.007277	31.181818	226.681818	47	135	104.677385	106	488320	Histogram-1.csv
Measurement 12 - Feature 1	2021-01-05T17:38:33-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.068182	1.126281	0.675438	0.454545	0.181818	89	130	109.575758	108	3616	Histogram-2.csv
Measurement 12 - Feature 2	2021-01-05T17:38:33-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.068182	1.110683	0.694541	0.409091	0.272727	97	129	109.242424	107	3605	Histogram-3.csv
Measurement 12 - Feature 3	2021-01-05T17:38:33-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.231405	3.065783	0.309385	1	1.045455	50	134	105.866071	107	11857	Histogram-4.csv
Measurement 12 - Feature 4	2021-01-05T17:38:33-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.13843	2.044116	0.416321	0.363636	0.818182	105	132	111.19403	107	7450	Histogram-5.csv
Measurement 12 - Feature 5	2021-01-05T17:38:33-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.095041	1.469751	0.552885	0.409091	0.545455	107	134	111.5	109	5129	Histogram-6.csv
Measurement 12 - Feature 6	2021-01-05T17:38:33-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.157025	2.267767	0.383691	0.727273	0.772727	107	130	112.552632	109	8554	Histogram-7.csv
Measurement 12 - Feature 7	2021-01-05T17:38:33-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.192149	1.656138	0.880348	0.5	0.454545	102	126	104.677419	103	9735	Histogram-8.csv
Measurement 12 - Feature 8	2021-01-05T17:38:33-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.072314	1.006461	0.897096	0.318182	0.318182	98	114	104.8	106	3668	Histogram-9.csv
Measurement 12 - Feature 9	2021-01-05T17:38:33-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.297521	3.03498	0.405897	1.090909	0.772727	53	126	96.722222	101	13928	Histogram-10.csv
Measurement 12 - Feature 10	2021-01-05T17:38:33-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.301653	3.095086	0.395705	0.409091	1.318182	68	115	99.726027	103	14560	Histogram-11.csv
Measurement 12 - Feature 11	2021-01-05T17:38:33-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.121901	1.993147	0.385601	0.272727	0.863636	49	107	88.813559	90	5240	Histogram-12.csv
Measurement 12 - Feature 12	2021-01-05T17:38:33-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.095041	1.461006	0.559523	0.363636	0.5	82	108	103.326087	107	4753	Histogram-13.csv
Measurement 12 - Feature 13	2021-01-05T17:38:33-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.121901	2.106115	0.345344	0.5	0.772727	64	106	97.305085	98	5741	Histogram-14.csv
Measurement 12 - Feature 14	2021-01-05T17:38:33-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.080579	1.279188	0.618814	0.318182	0.454545	104	128	110.974359	107	4328	Histogram-15.csv
Measurement 12 - Feature 15	2021-01-05T17:38:33-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.109504	1.629511	0.518234	0.636364	0.318182	104	131	108.509434	105	5751	Histogram-16.csv
Measurement 12 - Feature 16	2021-01-05T17:38:33-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.142562	1.972981	0.460222	0.727273	0.545455	79	111	101.927536	104	7033	Histogram-17.csv
Measurement 12 - Feature 17	2021-01-05T17:38:33-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.13843	1.753507	0.565749	0.5	0.636364	105	132	110.80597	108	7424	Histogram-18.csv
