Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
Measurement 14	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22	656	88.983471	1207.428687	0.000767	32.909091	229.727273	39	135	104.514651	106	4501237	Histogram-1.csv
Measurement 14 - Feature 1	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.092975	1.392155	0.602839	0.409091	0.5	93	117	104.733333	106	4713	Histogram-2.csv
Measurement 14 - Feature 2	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.105372	1.605169	0.513917	0.318182	0.590909	44	129	99.901961	106	5095	Histogram-3.csv
Measurement 14 - Feature 3	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.072314	1.150623	0.686383	0.454545	0.227273	88	131	110.257143	107	3859	Histogram-4.csv
Measurement 14 - Feature 4	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.163223	1.877896	0.581632	0.272727	0.727273	59	126	104.962025	107	8292	Histogram-5.csv
Measurement 14 - Feature 5	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.080579	1.09737	0.840859	0.318182	0.363636	70	130	105.307692	106	4107	Histogram-6.csv
Measurement 14 - Feature 6	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.080579	1.163936	0.74743	0.227273	0.454545	89	123	107.948718	107	4210	Histogram-7.csv
Measurement 14 - Feature 7	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.053719	0.979834	0.703125	0.363636	0.272727	103	127	111.961538	108	2911	Histogram-8.csv
Measurement 14 - Feature 8	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.128099	1.589571	0.637083	0.363636	0.590909	106	133	113.887097	109	7061	Histogram-9.csv
Measurement 14 - Feature 9	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.113636	1.410037	0.718234	0.5	0.318182	72	113	99.363636	101	5465	Histogram-10.csv
Measurement 14 - Feature 10	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.119835	1.651569	0.552076	0.454545	0.590909	55	107	96.982759	105	5625	Histogram-11.csv
Measurement 14 - Feature 11	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.088843	1.214906	0.756394	0.318182	0.409091	105	134	112.651163	108	4844	Histogram-12.csv
Measurement 14 - Feature 12	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.082645	1.150623	0.784437	0.318182	0.363636	68	127	102.625	106	4105	Histogram-13.csv
Measurement 14 - Feature 13	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.132231	1.910983	0.45502	0.772727	0.409091	86	116	103.734375	105	6639	Histogram-14.csv
Measurement 14 - Feature 14	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.260331	3.500554	0.266969	0.681818	1.045455	81	133	108.626984	108	13687	Histogram-15.csv
Measurement 14 - Feature 15	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.121901	1.740194	0.505849	0.636364	0.5	76	114	102.525424	104	6049	Histogram-16.csv
Measurement 14 - Feature 16	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.033058	0.727273	0.785398	0.181818	0.181818	75	117	100.875	103	1614	Histogram-17.csv
Measurement 14 - Feature 17	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.169421	1.538602	0.899344	0.5	0.409091	64	126	101.939024	106	8359	Histogram-18.csv
Measurement 14 - Feature 18	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.142562	1.447693	0.854793	0.454545	0.409091	82	107	99.246377	99	6848	Histogram-19.csv
Measurement 14 - Feature 19	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.136364	1.43438	0.832876	0.363636	0.5	54	133	100.848485	107	6656	Histogram-20.csv
Measurement 14 - Feature 20	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.117769	1.498662	0.658919	0.363636	0.545455	99	134	111.368421	108	6348	Histogram-21.csv
Measurement 14 - Feature 21	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.11157	1.602884	0.5457	0.363636	0.590909	95	131	110.277778	108	5955	Histogram-22.csv
Measurement 14 - Feature 22	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.126033	1.888925	0.443879	0.318182	0.772727	89	123	107.606557	107	6564	Histogram-23.csv
Measurement 14 - Feature 23	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.25	3.061606	0.335159	0.590909	1.272727	69	125	107.231405	106	12975	Histogram-24.csv
Measurement 14 - Feature 24	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.126033	1.928865	0.425687	0.318182	0.772727	105	133	112.606557	109	6869	Histogram-25.csv
Measurement 14 - Feature 25	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.117769	1.656138	0.539568	0.681818	0.272727	45	118	95.473684	100	5442	Histogram-26.csv
Measurement 14 - Feature 26	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.059917	0.971089	0.798444	0.181818	0.363636	106	126	109.689655	107	3181	Histogram-27.csv
