Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
Measurement 45	2021-01-05T19:21:50-06:00	D1T9cont_004_cells.tif	Selection	Custom (21 pixel(s) = 1.0000 microns)	microns	21	67	33.598639	268.833247	0.005842	46.904762	71.095238	107	134	112.587163	109	1668204	Histogram-1.csv
Measurement 45 - Feature 1	2021-01-05T19:21:50-06:00	D1T9cont_004_cells.tif	Selection	Custom (21 pixel(s) = 1.0000 microns)	microns	21		1.199546	8.31477	0.218035	1.809524	2.047619	107	133	112.523629	109	59525	Histogram-2.csv
Measurement 45 - Feature 2	2021-01-05T19:21:50-06:00	D1T9cont_004_cells.tif	Selection	Custom (21 pixel(s) = 1.0000 microns)	microns	21		0.62585	4.975079	0.317746	0.761905	2.095238	107	133	112.224638	109	30974	Histogram-3.csv
Measurement 45 - Feature 3	2021-01-05T19:21:50-06:00	D1T9cont_004_cells.tif	Selection	Custom (21 pixel(s) = 1.0000 microns)	microns	21		0.591837	4.731207	0.332252	1.857143	0.857143	107	133	112.203065	109	29285	Histogram-4.csv
Measurement 45 - Feature 4	2021-01-05T19:21:50-06:00	D1T9cont_004_cells.tif	Selection	Custom (21 pixel(s) = 1.0000 microns)	microns	21		0.537415	4.382524	0.351618	1.047619	1.666667	107	133	112.544304	109	26673	Histogram-5.csv
Measurement 45 - Feature 5	2021-01-05T19:21:50-06:00	D1T9cont_004_cells.tif	Selection	Custom (21 pixel(s) = 1.0000 microns)	microns	21		0.605442	4.793764	0.331077	1.904762	0.904762	107	133	112.640449	109	30075	Histogram-6.csv
Measurement 45 - Feature 6	2021-01-05T19:21:50-06:00	D1T9cont_004_cells.tif	Selection	Custom (21 pixel(s) = 1.0000 microns)	microns	21		0.192744	1.844187	0.712165	0.761905	0.285714	107	131	113.258824	110	9627	Histogram-7.csv
Measurement 45 - Feature 7	2021-01-05T19:21:50-06:00	D1T9cont_004_cells.tif	Selection	Custom (21 pixel(s) = 1.0000 microns)	microns	21		0.485261	3.985232	0.383953	1.095238	1.47619	107	133	112.939252	109	24169	Histogram-8.csv
Measurement 45 - Feature 8	2021-01-05T19:21:50-06:00	D1T9cont_004_cells.tif	Selection	Custom (21 pixel(s) = 1.0000 microns)	microns	21		0.249433	2.313198	0.585785	0.571429	0.857143	107	132	112.945455	109	12424	Histogram-9.csv
Measurement 45 - Feature 9	2021-01-05T19:21:50-06:00	D1T9cont_004_cells.tif	Selection	Custom (21 pixel(s) = 1.0000 microns)	microns	21		0.31746	2.854339	0.489653	1.095238	0.666667	107	133	112.785714	109	15790	Histogram-10.csv
Measurement 45 - Feature 10	2021-01-05T19:21:50-06:00	D1T9cont_004_cells.tif	Selection	Custom (21 pixel(s) = 1.0000 microns)	microns	21		0.417234	3.470003	0.435441	0.47619	1.47619	107	133	112.934783	109	20780	Histogram-11.csv
Measurement 45 - Feature 11	2021-01-05T19:21:50-06:00	D1T9cont_004_cells.tif	Selection	Custom (21 pixel(s) = 1.0000 microns)	microns	21		1.068027	8.173315	0.200907	1.761905	2.190476	107	133	112.66879	109	53067	Histogram-12.csv
Measurement 45 - Feature 12	2021-01-05T19:21:50-06:00	D1T9cont_004_cells.tif	Selection	Custom (21 pixel(s) = 1.0000 microns)	microns	21		0.37415	3.175127	0.466373	0.428571	1.333333	107	133	112.460606	109	18556	Histogram-13.csv
Measurement 45 - Feature 13	2021-01-05T19:21:50-06:00	D1T9cont_004_cells.tif	Selection	Custom (21 pixel(s) = 1.0000 microns)	microns	21		0.485261	3.931835	0.394452	1.095238	1.428571	107	133	112.948598	109	24171	Histogram-14.csv
Measurement 45 - Feature 14	2021-01-05T19:21:50-06:00	D1T9cont_004_cells.tif	Selection	Custom (21 pixel(s) = 1.0000 microns)	microns	21		0.505669	4.111168	0.375964	0.47619	1.761905	107	133	112.345291	109	25053	Histogram-15.csv
Measurement 45 - Feature 15	2021-01-05T19:21:50-06:00	D1T9cont_004_cells.tif	Selection	Custom (21 pixel(s) = 1.0000 microns)	microns	21		0.671202	5.208969	0.310856	1.619048	1.857143	107	133	112.587838	109	33326	Histogram-16.csv
Measurement 45 - Feature 16	2021-01-05T19:21:50-06:00	D1T9cont_004_cells.tif	Selection	Custom (21 pixel(s) = 1.0000 microns)	microns	21		0.537415	4.341093	0.358362	0.571429	1.857143	107	133	112.468354	109	26655	Histogram-17.csv
Measurement 45 - Feature 17	2021-01-05T19:21:50-06:00	D1T9cont_004_cells.tif	Selection	Custom (21 pixel(s) = 1.0000 microns)	microns	21		0.31746	2.74994	0.527537	0.857143	0.761905	107	133	112.814286	109	15794	Histogram-18.csv
Measurement 45 - Feature 18	2021-01-05T19:21:50-06:00	D1T9cont_004_cells.tif	Selection	Custom (21 pixel(s) = 1.0000 microns)	microns	21		0.376417	2.931255	0.550519	0.333333	1.285714	107	133	114.710843	110	19042	Histogram-19.csv
Measurement 45 - Feature 19	2021-01-05T19:21:50-06:00	D1T9cont_004_cells.tif	Selection	Custom (21 pixel(s) = 1.0000 microns)	microns	21		0.417234	3.504666	0.42687	1.333333	0.809524	107	133	112.875	109	20769	Histogram-20.csv
