Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
Measurement 16	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22	161	26.938017	314.786818	0.003416	31.227273	221.772727	44	134	104.541571	106	1363013	Histogram-1.csv
Measurement 16 - Feature 1	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.144628	1.447693	0.867181	0.454545	0.409091	107	133	109.571429	107	7670	Histogram-2.csv
Measurement 16 - Feature 2	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.072314	1.219474	0.611065	0.181818	0.454545	79	120	102.257143	105	3579	Histogram-3.csv
Measurement 16 - Feature 3	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.202479	1.68048	0.900998	0.545455	0.454545	107	130	109.979592	107	10778	Histogram-4.csv
Measurement 16 - Feature 4	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.576446	2.804477	0.921012	0.818182	0.863636	105	126	105.885305	105	29542	Histogram-5.csv
Measurement 16 - Feature 5	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.084711	1.367813	0.568977	0.5	0.363636	100	131	108.292683	106	4440	Histogram-6.csv
Measurement 16 - Feature 6	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.126033	1.77785	0.501077	0.636364	0.545455	105	131	110.311475	106	6729	Histogram-7.csv
Measurement 16 - Feature 7	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.028926	0.631795	0.910626	0.181818	0.227273	98	131	111.785714	107	1565	Histogram-8.csv
Measurement 16 - Feature 8	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.221074	3.786595	0.193754	0.681818	1.590909	53	131	106.35514	107	11380	Histogram-9.csv
Measurement 16 - Feature 9	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.051653	0.915552	0.774353	0.318182	0.272727	107	131	113.68	110	2842	Histogram-10.csv
Measurement 16 - Feature 10	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.022727	0.658422	0.658793	0.227273	0.181818	104	126	109.363636	106	1203	Histogram-11.csv
Measurement 16 - Feature 11	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.169421	1.664883	0.768088	0.590909	0.454545	96	133	109.536585	107	8982	Histogram-12.csv
Measurement 16 - Feature 12	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.095041	1.123996	0.94535	0.318182	0.363636	102	120	108.043478	107	4970	Histogram-13.csv
Measurement 16 - Feature 13	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.041322	0.877896	0.673765	0.272727	0.272727	82	106	96.15	96	1923	Histogram-14.csv
Measurement 16 - Feature 14	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.049587	1.084056	0.530239	0.409091	0.272727	93	106	102	103	2448	Histogram-15.csv
Measurement 16 - Feature 15	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.059917	0.942178	0.848196	0.318182	0.272727	64	107	93.689655	92	2717	Histogram-16.csv
Measurement 16 - Feature 16	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.161157	2.325589	0.37445	0.954545	0.409091	107	132	112.564103	109	8780	Histogram-17.csv
Measurement 16 - Feature 17	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.157025	2.006461	0.490136	0.318182	0.818182	95	117	105.789474	106	8040	Histogram-18.csv
Measurement 16 - Feature 18	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.320248	3.553808	0.318646	0.818182	1.318182	78	107	97.651613	100	15136	Histogram-19.csv
Measurement 16 - Feature 19	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.318182	3.520328	0.322641	1	1.272727	77	107	98.616883	101	15187	Histogram-20.csv
Measurement 16 - Feature 20	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.126033	1.536318	0.671015	0.5	0.454545	107	131	112.934426	109	6889	Histogram-21.csv
Measurement 16 - Feature 21	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.270661	3.135026	0.346062	0.363636	1.363636	68	111	98.938931	103	12961	Histogram-22.csv
Measurement 16 - Feature 22	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.113636	1.534034	0.606817	0.454545	0.545455	91	106	99.690909	101	5483	Histogram-23.csv
Measurement 16 - Feature 23	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.320248	3.015206	0.442652	1.227273	0.5	78	107	98.232258	100	15226	Histogram-24.csv
Measurement 16 - Feature 24	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.382231	3.522612	0.387085	1.272727	0.954545	73	118	102.313514	104	18928	Histogram-25.csv
Measurement 16 - Feature 25	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.092975	1.294786	0.696917	0.227273	0.5	78	107	97.933333	101	4407	Histogram-26.csv
Measurement 16 - Feature 26	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.128099	1.421066	0.797127	0.454545	0.409091	92	116	105.887097	107	6565	Histogram-27.csv
Measurement 16 - Feature 27	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.072314	1.046401	0.829921	0.318182	0.318182	102	121	108.114286	107	3784	Histogram-28.csv
Measurement 16 - Feature 28	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.088843	1.161652	0.827334	0.409091	0.318182	92	129	106.418605	107	4576	Histogram-29.csv
