Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
Measurement 18	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22	65	9.384298	120.9436	0.008062	30.863636	230.136364	41	130	97.814399	102	444273	Histogram-1.csv
Measurement 18 - Feature 1	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.214876	3.436272	0.228677	1.090909	1	56	107	93.951923	97	9771	Histogram-2.csv
Measurement 18 - Feature 2	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.167355	2.119428	0.468179	0.772727	0.5	70	107	98.91358	100	8012	Histogram-3.csv
Measurement 18 - Feature 3	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.113636	1.514259	0.622768	0.545455	0.318182	81	107	99.890909	103	5494	Histogram-4.csv
Measurement 18 - Feature 4	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.086777	1.086341	0.924021	0.318182	0.318182	93	117	105.071429	106	4413	Histogram-5.csv
Measurement 18 - Feature 5	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.072314	1.084056	0.773266	0.363636	0.318182	81	106	99.4	102	3479	Histogram-6.csv
Measurement 18 - Feature 6	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.177686	2.172681	0.473011	0.863636	0.409091	73	107	99.965116	102	8597	Histogram-7.csv
Measurement 18 - Feature 7	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.11157	1.771389	0.446818	0.363636	0.681818	103	119	106.203704	106	5735	Histogram-8.csv
Measurement 18 - Feature 8	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.10124	1.361352	0.686467	0.227273	0.5	46	106	85.673469	89	4198	Histogram-9.csv
Measurement 18 - Feature 9	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.318182	4.014814	0.248059	0.954545	1.545455	65	107	95.006494	98	14631	Histogram-10.csv
Measurement 18 - Feature 10	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.049587	0.851269	0.859888	0.272727	0.272727	75	106	92.458333	92	2219	Histogram-11.csv
Measurement 18 - Feature 11	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.210744	2.376558	0.468887	0.545455	0.909091	66	106	95.872549	100	9779	Histogram-12.csv
Measurement 18 - Feature 12	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.109504	1.540886	0.579561	0.590909	0.272727	69	106	95.113208	97	5041	Histogram-13.csv
Measurement 18 - Feature 13	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.078512	1.252561	0.628854	0.5	0.272727	102	130	108.473684	107	4122	Histogram-14.csv
Measurement 18 - Feature 14	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.041322	0.762644	0.892792	0.227273	0.227273	95	106	101.2	102	2024	Histogram-15.csv
Measurement 18 - Feature 15	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.144628	2.126281	0.401996	0.909091	0.181818	83	107	100.314286	102	7022	Histogram-16.csv
Measurement 18 - Feature 16	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.134298	1.910983	0.46213	0.681818	0.5	81	107	98.6	99	6409	Histogram-17.csv
Measurement 18 - Feature 17	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.11157	1.50323	0.620451	0.227273	0.590909	92	107	102.111111	103	5514	Histogram-18.csv
Measurement 18 - Feature 18	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.469008	4.948639	0.240668	2.181818	0.545455	67	107	96.480176	100	21901	Histogram-19.csv
Measurement 18 - Feature 19	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.169421	2.081772	0.491261	0.318182	0.863636	96	113	104.768293	105	8591	Histogram-20.csv
Measurement 18 - Feature 20	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.11157	1.536318	0.594013	0.545455	0.409091	81	107	99.296296	101	5362	Histogram-21.csv
Measurement 18 - Feature 21	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.080579	1.073027	0.879443	0.318182	0.318182	51	106	93.641026	100	3652	Histogram-22.csv
Measurement 18 - Feature 22	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.092975	1.279188	0.714017	0.272727	0.5	71	107	95.6	97	4302	Histogram-23.csv
Measurement 18 - Feature 23	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.159091	1.877896	0.566908	0.681818	0.363636	48	106	87.246753	91	6718	Histogram-24.csv
Measurement 18 - Feature 24	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.086777	1.09737	0.90554	0.363636	0.318182	77	108	100.738095	104	4231	Histogram-25.csv
Measurement 18 - Feature 25	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.150826	1.835672	0.562467	0.363636	0.727273	50	106	94.479452	98	6897	Histogram-26.csv
Measurement 18 - Feature 26	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.049587	0.891209	0.784542	0.318182	0.227273	85	108	98.916667	101	2374	Histogram-27.csv
Measurement 18 - Feature 27	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.17562	2.239248	0.440128	0.409091	0.863636	82	127	106.258824	106	9032	Histogram-28.csv
Measurement 18 - Feature 28	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.163223	2.033087	0.496226	0.818182	0.318182	83	107	99.417722	101	7854	Histogram-29.csv
Measurement 18 - Feature 29	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.132231	1.718136	0.562898	0.681818	0.363636	82	121	104.75	106	6704	Histogram-30.csv
Measurement 18 - Feature 30	2021-01-05T17:43:39-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.130165	1.669451	0.586891	0.636364	0.318182	77	107	98.301587	100	6193	Histogram-31.csv
