"Label"	"Date and Time"	"Document"	"Source"	"Scale"	"Scale Units"	"Scale Factor"	"Count"	"Area"	"Perimeter"	"Circularity"	"Height"	"Width"	"Gray Value (Minimum)"	"Gray Value (Maximum)"	"Gray Value (Mean)"	"Gray Value (Median)"	"Integrated Density"	"Histogram"
"Measurement 82"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"	"130"	"896.473140"	"3069.682193"	"0.001196"	"36.954545"	"246.681818"	"217.000000"	"218.000000"	"217.513816"	"218.000000"	"94377722.000000"	"Histogram-1.csv"
"Measurement 82 - Feature 1"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.900826"	"8.231220"	"0.167079"	"2.363636"	"2.590909"	"217.000000"	"218.000000"	"217.511468"	"218.000000"	"94835.000000"	"Histogram-2.csv"
"Measurement 82 - Feature 2"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.989669"	"8.553024"	"0.170005"	"2.227273"	"1.772727"	"217.000000"	"218.000000"	"217.507307"	"218.000000"	"104186.000000"	"Histogram-3.csv"
"Measurement 82 - Feature 3"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"1.836777"	"16.900671"	"0.080809"	"3.590909"	"3.636364"	"217.000000"	"218.000000"	"217.515186"	"218.000000"	"193371.000000"	"Histogram-4.csv"
"Measurement 82 - Feature 4"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"349.041322"	"471.806378"	"0.019704"	"30.681818"	"58.772727"	"217.000000"	"218.000000"	"217.512993"	"218.000000"	"36745775.000000"	"Histogram-5.csv"
"Measurement 82 - Feature 5"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.270661"	"2.862298"	"0.415151"	"0.500000"	"1.090909"	"217.000000"	"218.000000"	"217.442748"	"217.000000"	"28485.000000"	"Histogram-6.csv"
"Measurement 82 - Feature 6"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"15.126033"	"95.104603"	"0.021015"	"19.318182"	"7.227273"	"217.000000"	"218.000000"	"217.515777"	"218.000000"	"1592433.000000"	"Histogram-7.csv"
"Measurement 82 - Feature 7"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"3.066116"	"21.017031"	"0.087228"	"3.636364"	"3.818182"	"217.000000"	"218.000000"	"217.524259"	"218.000000"	"322806.000000"	"Histogram-8.csv"
"Measurement 82 - Feature 8"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"2.227273"	"20.105264"	"0.069241"	"4.727273"	"5.227273"	"217.000000"	"218.000000"	"217.508349"	"218.000000"	"234474.000000"	"Histogram-9.csv"
"Measurement 82 - Feature 9"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.754132"	"7.515368"	"0.167786"	"1.772727"	"2.863636"	"217.000000"	"218.000000"	"217.509589"	"218.000000"	"79391.000000"	"Histogram-10.csv"
"Measurement 82 - Feature 10"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"2.316116"	"12.875936"	"0.175555"	"3.500000"	"2.772727"	"217.000000"	"218.000000"	"217.523640"	"218.000000"	"243844.000000"	"Histogram-11.csv"
"Measurement 82 - Feature 11"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.357438"	"3.616198"	"0.343484"	"1.500000"	"0.409091"	"217.000000"	"218.000000"	"217.531792"	"218.000000"	"37633.000000"	"Histogram-12.csv"
"Measurement 82 - Feature 12"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"3.541322"	"17.552240"	"0.144448"	"5.545455"	"1.954545"	"217.000000"	"218.000000"	"217.522170"	"218.000000"	"372833.000000"	"Histogram-13.csv"
"Measurement 82 - Feature 13"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"16.882231"	"72.811777"	"0.040016"	"13.181818"	"11.909091"	"217.000000"	"218.000000"	"217.511688"	"218.000000"	"1777288.000000"	"Histogram-14.csv"
"Measurement 82 - Feature 14"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.471074"	"8.546563"	"0.081043"	"1.636364"	"2.363636"	"217.000000"	"218.000000"	"217.539474"	"218.000000"	"49599.000000"	"Histogram-15.csv"
"Measurement 82 - Feature 15"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.245868"	"5.197024"	"0.114394"	"2.318182"	"0.363636"	"217.000000"	"218.000000"	"217.596639"	"218.000000"	"25894.000000"	"Histogram-16.csv"
"Measurement 82 - Feature 16"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"1.489669"	"12.312992"	"0.123473"	"3.818182"	"2.909091"	"217.000000"	"218.000000"	"217.502080"	"218.000000"	"156819.000000"	"Histogram-17.csv"
"Measurement 82 - Feature 17"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"76.766529"	"225.093820"	"0.019039"	"25.772727"	"15.227273"	"217.000000"	"218.000000"	"217.514601"	"218.000000"	"8081755.000000"	"Histogram-18.csv"
"Measurement 82 - Feature 18"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.489669"	"4.188279"	"0.350786"	"1.954545"	"0.272727"	"217.000000"	"218.000000"	"217.527426"	"218.000000"	"51554.000000"	"Histogram-19.csv"
"Measurement 82 - Feature 19"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.390496"	"4.014814"	"0.304436"	"1.500000"	"0.636364"	"217.000000"	"218.000000"	"217.560847"	"218.000000"	"41119.000000"	"Histogram-20.csv"
"Measurement 82 - Feature 20"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"21.940083"	"75.332889"	"0.048582"	"11.409091"	"13.090909"	"217.000000"	"218.000000"	"217.504096"	"218.000000"	"2309676.000000"	"Histogram-21.csv"
"Measurement 82 - Feature 21"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.607438"	"5.152515"	"0.287523"	"2.227273"	"0.500000"	"217.000000"	"218.000000"	"217.520408"	"218.000000"	"63951.000000"	"Histogram-22.csv"
"Measurement 82 - Feature 22"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"7.636364"	"34.754873"	"0.079445"	"8.090909"	"4.727273"	"217.000000"	"218.000000"	"217.513799"	"218.000000"	"803931.000000"	"Histogram-23.csv"
"Measurement 82 - Feature 23"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.378099"	"3.456046"	"0.397793"	"1.000000"	"1.227273"	"217.000000"	"218.000000"	"217.502732"	"217.000000"	"39803.000000"	"Histogram-24.csv"
"Measurement 82 - Feature 24"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.002066"	"0.181818"	"0.785398"	"0.045455"	"0.045455"	"217.000000"	"217.000000"	"217.000000"	"0.000000"	"217.000000"	"Histogram-25.csv"
"Measurement 82 - Feature 25"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.002066"	"0.181818"	"0.785398"	"0.045455"	"0.045455"	"218.000000"	"218.000000"	"218.000000"	"0.000000"	"218.000000"	"Histogram-26.csv"
"Measurement 82 - Feature 26"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.582645"	"5.369313"	"0.253966"	"1.681818"	"1.681818"	"217.000000"	"218.000000"	"217.553191"	"218.000000"	"61350.000000"	"Histogram-27.csv"
"Measurement 82 - Feature 27"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.002066"	"0.181818"	"0.785398"	"0.045455"	"0.045455"	"218.000000"	"218.000000"	"218.000000"	"0.000000"	"218.000000"	"Histogram-28.csv"
"Measurement 82 - Feature 28"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.002066"	"0.181818"	"0.785398"	"0.045455"	"0.045455"	"218.000000"	"218.000000"	"218.000000"	"0.000000"	"218.000000"	"Histogram-29.csv"
"Measurement 82 - Feature 29"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.002066"	"0.181818"	"0.785398"	"0.045455"	"0.045455"	"218.000000"	"218.000000"	"218.000000"	"0.000000"	"218.000000"	"Histogram-30.csv"
"Measurement 82 - Feature 30"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"2.721074"	"16.802909"	"0.121110"	"2.181818"	"6.590909"	"217.000000"	"218.000000"	"217.503417"	"218.000000"	"286452.000000"	"Histogram-31.csv"
"Measurement 82 - Feature 31"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.082645"	"1.263590"	"0.650447"	"0.454545"	"0.363636"	"217.000000"	"218.000000"	"217.575000"	"218.000000"	"8703.000000"	"Histogram-32.csv"
"Measurement 82 - Feature 32"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.097107"	"2.081772"	"0.281576"	"0.454545"	"0.772727"	"217.000000"	"218.000000"	"217.510638"	"217.000000"	"10223.000000"	"Histogram-33.csv"
"Measurement 82 - Feature 33"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.301653"	"3.223650"	"0.364772"	"0.681818"	"1.000000"	"217.000000"	"218.000000"	"217.561644"	"218.000000"	"31764.000000"	"Histogram-34.csv"
"Measurement 82 - Feature 34"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"9.371901"	"51.873518"	"0.043767"	"7.590909"	"7.863636"	"217.000000"	"218.000000"	"217.530864"	"218.000000"	"986720.000000"	"Histogram-35.csv"
"Measurement 82 - Feature 35"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"52.345041"	"281.029593"	"0.008329"	"21.727273"	"25.272727"	"217.000000"	"218.000000"	"217.512019"	"218.000000"	"5510667.000000"	"Histogram-36.csv"
"Measurement 82 - Feature 36"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"4.080579"	"26.122753"	"0.075144"	"3.318182"	"4.863636"	"217.000000"	"218.000000"	"217.504810"	"218.000000"	"429572.000000"	"Histogram-37.csv"
"Measurement 82 - Feature 37"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"0.181818"	"1.860014"	"0.660412"	"0.681818"	"0.454545"	"217.000000"	"218.000000"	"217.454545"	"217.000000"	"19136.000000"	"Histogram-38.csv"
"Measurement 82 - Feature 38"	"2021-01-06T11:51:44-06:00"	"composite.tif"	"Selection"	"Custom (22 pixel(s) = 1.0000 microns)"	"microns"	"22.000000"		"1.605372"	"14.872152"	"0.091209"	"4.136364"	"1.181818"	"217.000000"	"218.000000"	"217.496782"	"217.000000"	"168995.000000"	"Histogram-39.csv"
