Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
Measurement 23	2021-01-05T17:56:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22	150	17.539256	244.137477	0.003698	32.409091	248.409091	40	134	105.31959	107	894058	Histogram-1.csv
Measurement 23 - Feature 1	2021-01-05T17:56:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.080579	1.487633	0.457549	0.409091	0.363636	53	116	100.897436	107	3935	Histogram-2.csv
Measurement 23 - Feature 2	2021-01-05T17:56:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.097107	1.755792	0.395837	0.590909	0.5	104	132	111.468085	108	5239	Histogram-3.csv
Measurement 23 - Feature 3	2021-01-05T17:56:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.200413	2.860014	0.307893	0.727273	0.863636	73	130	107.773196	108	10454	Histogram-4.csv
Measurement 23 - Feature 4	2021-01-05T17:56:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.132231	2.338902	0.303753	0.590909	0.727273	107	134	112.703125	109	7213	Histogram-5.csv
Measurement 23 - Feature 5	2021-01-05T17:56:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.070248	1.203876	0.609087	0.454545	0.227273	102	119	108.735294	108	3697	Histogram-6.csv
Measurement 23 - Feature 6	2021-01-05T17:56:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.072314	1.17725	0.655685	0.409091	0.272727	106	128	110.171429	108	3856	Histogram-7.csv
Measurement 23 - Feature 7	2021-01-05T17:56:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.033058	0.711675	0.820202	0.227273	0.181818	95	108	102.0625	102	1633	Histogram-8.csv
Measurement 23 - Feature 8	2021-01-05T17:56:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.140496	1.988579	0.446465	0.636364	0.590909	92	128	110.176471	108	7492	Histogram-9.csv
Measurement 23 - Feature 9	2021-01-05T17:56:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.095041	1.38341	0.624051	0.409091	0.363636	102	134	111.652174	108	5136	Histogram-10.csv
Measurement 23 - Feature 10	2021-01-05T17:56:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.115702	1.292501	0.870343	0.363636	0.409091	99	121	108.964286	107	6102	Histogram-11.csv
Measurement 23 - Feature 11	2021-01-05T17:56:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.10124	1.551915	0.528232	0.318182	0.590909	66	134	108.346939	108	5309	Histogram-12.csv
Measurement 23 - Feature 12	2021-01-05T17:56:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.099174	1.381126	0.65334	0.363636	0.5	77	122	107.0625	107	5139	Histogram-13.csv
Measurement 23 - Feature 13	2021-01-05T17:56:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.072314	1.13731	0.702546	0.272727	0.409091	107	133	112.371429	109	3933	Histogram-14.csv
Measurement 23 - Feature 14	2021-01-05T17:56:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.057851	1.174966	0.52659	0.363636	0.363636	107	127	113.25	110	3171	Histogram-15.csv
Measurement 23 - Feature 15	2021-01-05T17:56:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.188017	2.585003	0.353577	0.772727	0.772727	48	132	108.626374	108	9885	Histogram-16.csv
Measurement 23 - Feature 16	2021-01-05T17:56:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.030992	0.709391	0.773899	0.227273	0.227273	107	131	113.866667	110	1708	Histogram-17.csv
Measurement 23 - Feature 17	2021-01-05T17:56:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.035124	0.749331	0.786079	0.318182	0.136364	108	122	113.941176	114	1937	Histogram-18.csv
Measurement 23 - Feature 18	2021-01-05T17:56:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.047521	0.928865	0.692129	0.318182	0.272727	62	131	107.086957	107	2463	Histogram-19.csv
