model_ID,model,Npar,n_elements,df,Deviance,p.value
8,Na,56,1,1,4.123096242402426,0.04230159077031189
21,Al+Na,57,2,2,6.398394521975661,0.04079493852661331
78,Mn+Na,57,2,2,6.211980163027874,0.0447801605946941
85,Na+O,56,2,1,4.123096242402426,0.04230159077031189
86,Na+Si,56,2,1,4.123096242402426,0.04230159077031189
87,Na+Ti,57,2,2,6.863981303492437,0.032322533779918075
89,Na+W,57,2,2,6.2156291326095925,0.044698534358313
90,Na+Y,57,2,2,6.5383130789227835,0.03803849751980166
156,Al+Mn+Na,58,3,3,8.613373194325504,0.03489845236885023
163,Al+Na+O,57,3,2,6.398394521975661,0.04079493852661331
164,Al+Na+Si,57,3,2,6.398394521975661,0.04079493852661331
165,Al+Na+Ti,58,3,3,9.19382654783567,0.02682182870249349
167,Al+Na+W,58,3,3,8.533902268340626,0.03617483428602463
168,Al+Na+Y,58,3,3,8.771334143516015,0.03249080274184731
180,Al+Ti+Y,58,3,3,8.079662402707527,0.04439369684153972
183,Al+W+Y,58,3,3,7.843545859519054,0.04935826245285369
331,Hg+Na+Ti,58,3,3,8.269689764058967,0.04075476382400312
334,Hg+Na+Y,58,3,3,7.97845057910763,0.04645917300269588
414,Mn+Na+O,57,3,2,6.211980163027874,0.0447801605946941
415,Mn+Na+Si,57,3,2,6.211980163027874,0.0447801605946941
416,Mn+Na+Ti,58,3,3,8.552182725948114,0.03587725243434449
418,Mn+Na+W,58,3,3,8.338465268398977,0.0395108280441438
419,Mn+Na+Y,58,3,3,8.519057676573539,0.0364182577067424
435,Na+O+Si,56,3,1,4.123096242402426,0.04230159077031189
436,Na+O+Ti,57,3,2,6.863981303492437,0.032322533779918075
438,Na+O+W,57,3,2,6.2156291326095925,0.044698534358313
439,Na+O+Y,57,3,2,6.5383130789227835,0.03803849751980166
440,Na+Si+Ti,57,3,2,6.863981303492437,0.032322533779918075
442,Na+Si+W,57,3,2,6.2156291326095925,0.044698534358313
443,Na+Si+Y,57,3,2,6.5383130789227835,0.03803849751980166
445,Na+Ti+W,58,3,3,9.005841966275511,0.029213315158612366
446,Na+Ti+Y,58,3,3,9.1233901879932091,0.027694543723155322
449,Na+W+Y,58,3,3,8.945579485821781,0.03002325588558309
608,Al+Hg+Mn+Na,59,4,4,10.008529765897038,0.0402842440731176
617,Al+Hg+Na+Ti,59,4,4,10.584029560220188,0.03165897988832182
619,Al+Hg+Na+W,59,4,4,9.936602905846485,0.041509246067712995
620,Al+Hg+Na+Y,59,4,4,10.195996487217144,0.037252445583251144
632,Al+Hg+Ti+Y,59,4,4,9.512208353859023,0.04949699644006067
700,Al+Mn+Na+O,58,4,3,8.613373194325504,0.03489845236885023
701,Al+Mn+Na+Si,58,4,3,8.613373194325504,0.03489845236885023
702,Al+Mn+Na+Ti,59,4,4,10.994429157983632,0.026626694328055138
704,Al+Mn+Na+W,59,4,4,10.785388771077578,0.029084829916558176
705,Al+Mn+Na+Y,59,4,4,10.875017598789327,0.028005141336294687
716,Al+Mn+Ti+W,59,4,4,9.567755650152776,0.048373484158153394
717,Al+Mn+Ti+Y,59,4,4,9.796707332247024,0.04399495134568749
720,Al+Mn+W+Y,59,4,4,9.961119505704119,0.04108773645421163
721,Al+Na+O+Si,57,4,2,6.398394521975661,0.04079493852661331
722,Al+Na+O+Ti,58,4,3,9.19382654783567,0.02682182870249349
724,Al+Na+O+W,58,4,3,8.533902268340626,0.03617483428602463
725,Al+Na+O+Y,58,4,3,8.771334143516015,0.03249080274184731
726,Al+Na+Si+Ti,58,4,3,9.19382654783567,0.02682182870249349
728,Al+Na+Si+W,58,4,3,8.533902268340626,0.03617483428602463
729,Al+Na+Si+Y,58,4,3,8.771334143516015,0.03249080274184731
731,Al+Na+Ti+W,59,4,4,11.380152487346095,0.022608010854210832
732,Al+Na+Ti+Y,59,4,4,11.410523908474715,0.022317829969704488
735,Al+Na+W+Y,59,4,4,11.220043890615216,0.024199217732790997
742,Al+O+Ti+Y,58,4,3,8.079662402707527,0.04439369684153972
745,Al+O+W+Y,58,4,3,7.843545859519054,0.04935826245285369
748,Al+Si+Ti+Y,58,4,3,8.079662402707527,0.04439369684153972
751,Al+Si+W+Y,58,4,3,7.843545859519054,0.04935826245285369
754,Al+Ti+W+Y,59,4,4,10.51049083699445,0.03265278788972998
1207,Hg+Mn+Na+Ti,59,4,4,9.948750099400513,0.04129988549465685
1209,Hg+Mn+Na+W,59,4,4,9.744385659764248,0.044960781104238165
1210,Hg+Mn+Na+Y,59,4,4,9.94692501238751,0.0413312766137475
1227,Hg+Na+O+Ti,58,4,3,8.269689764058967,0.04075476382400312
1230,Hg+Na+O+Y,58,4,3,7.97845057910763,0.04645917300269588
1231,Hg+Na+Si+Ti,58,4,3,8.269689764058967,0.04075476382400312
1234,Hg+Na+Si+Y,58,4,3,7.97845057910763,0.04645917300269588
1236,Hg+Na+Ti+W,59,4,4,10.406282097802432,0.03411270906247551
1237,Hg+Na+Ti+Y,59,4,4,10.545798611341525,0.032171939556399715
1240,Hg+Na+W+Y,59,4,4,10.381248908931411,0.03447266831462579
1401,Mn+Na+O+Si,57,4,2,6.211980163027874,0.0447801605946941
1402,Mn+Na+O+Ti,58,4,3,8.552182725948114,0.03587725243434449
1404,Mn+Na+O+W,58,4,3,8.338465268398977,0.0395108280441438
1405,Mn+Na+O+Y,58,4,3,8.519057676573539,0.0364182577067424
1406,Mn+Na+Si+Ti,58,4,3,8.552182725948114,0.03587725243434449
1408,Mn+Na+Si+W,58,4,3,8.338465268398977,0.0395108280441438
1409,Mn+Na+Si+Y,58,4,3,8.519057676573539,0.0364182577067424
1411,Mn+Na+Ti+W,59,4,4,10.720128146952447,0.02989614843610007
1412,Mn+Na+Ti+Y,59,4,4,10.731623747377398,0.02975166753409341
1415,Mn+Na+W+Y,59,4,4,10.9550253403645,0.0270741445895755
1436,Na+O+Si+Ti,57,4,2,6.863981303492437,0.032322533779918075
1438,Na+O+Si+W,57,4,2,6.2156291326095925,0.044698534358313
1439,Na+O+Si+Y,57,4,2,6.5383130789227835,0.03803849751980166
1441,Na+O+Ti+W,58,4,3,9.005841966275511,0.029213315158612366
1442,Na+O+Ti+Y,58,4,3,9.1233901879932091,0.027694543723155322
1445,Na+O+W+Y,58,4,3,8.945579485821781,0.03002325588558309
1447,Na+Si+Ti+W,58,4,3,9.005841966275511,0.029213315158612366
1448,Na+Si+Ti+Y,58,4,3,9.1233901879932091,0.027694543723155322
1451,Na+Si+W+Y,58,4,3,8.945579485821781,0.03002325588558309
1454,Na+Ti+W+Y,59,4,4,11.572250386714131,0.02083241528092106
1637,Al+Ca+Mn+Na+Ti,60,5,5,11.089424008422156,0.049635514659587786
1666,Al+Ca+Na+Ti+W,60,5,5,11.577541713652408,0.04105810638325433
1667,Al+Ca+Na+Ti+Y,60,5,5,11.509301916554705,0.04216655809662376
1670,Al+Ca+Na+W+Y,60,5,5,11.365100541020638,0.0446028428236315
1831,Al+Fe+Na+Ti+W,60,5,5,11.380159952319445,0.04434231541905641
1832,Al+Fe+Na+Ti+Y,60,5,5,11.426943457491234,0.04354211844821924
1835,Al+Fe+Na+W+Y,60,5,5,11.22540687415767,0.04708952221987348
1920,Al+Hg+Mn+Na+O,59,5,4,10.008529765897038,0.0402842440731176
1921,Al+Hg+Mn+Na+Si,59,5,4,10.008529765897038,0.0402842440731176
1922,Al+Hg+Mn+Na+Ti,60,5,5,12.374894472232882,0.02999671643546778
1924,Al+Hg+Mn+Na+W,60,5,5,12.175187250326417,0.032464582382106394
1925,Al+Hg+Mn+Na+Y,60,5,5,12.286713806289754,0.031063479428818867
1937,Al+Hg+Mn+Ti+Y,60,5,5,11.21910898625265,0.047204661059380953
1940,Al+Hg+Mn+W+Y,60,5,5,11.394258767937572,0.044099712092384315
