model_ID,model,Npar,n_elements,df,Deviance,p.value
4,Ca,4,1,1,4.133173266987342,0.0420504292277356
7,Fe,4,1,1,16.42388193672832,5.064314118805679e-5
12,Na,4,1,1,4.966288700727773,0.025846048802297922
21,Al+Ca,4,2,1,4.133173266987342,0.0420504292277356
24,Al+Fe,4,2,1,16.42388193672832,5.064314118805679e-5
29,Al+Na,4,2,1,4.966288700727773,0.025846048802297922
40,As+Fe,5,2,2,16.481946057500636,2.6362760737355293e-4
55,Ba+Fe,5,2,2,16.559887662945926,2.535514412457555e-4
68,Ca+Er,4,2,1,4.133173266987342,0.0420504292277356
69,Ca+Fe,5,2,2,18.373230859815976,1.0240086174579596e-4
74,Ca+Na,5,2,2,9.193140632847985,0.010086369546751671
75,Ca+O,4,2,1,4.133173266987342,0.0420504292277356
77,Ca+Si,4,2,1,4.133173266987342,0.0420504292277356
79,Ca+V,4,2,1,4.133173266987342,0.0420504292277356
80,Ca+W,4,2,1,4.133173266987342,0.0420504292277356
82,Cu+Fe,5,2,2,17.38099906967261,1.6817599546714723e-4
94,Er+Fe,4,2,1,16.42388193672832,5.064314118805679e-5
99,Er+Na,4,2,1,4.966288700727773,0.025846048802297922
106,Fe+Ir,5,2,2,16.59538811284358,2.490905541263388e-4
107,Fe+K,5,2,2,16.956139733893338,2.0797974414014955e-4
108,Fe+Mg,5,2,2,16.815977420450622,2.230780806764812e-4
109,Fe+Mn,5,2,2,16.765938030219445,2.2872983399132202e-4
110,Fe+Na,5,2,2,20.041724135997583,4.446260460664259e-5
111,Fe+O,4,2,1,16.42388193672832,5.064314118805679e-5
112,Fe+S,5,2,2,16.86432213404828,2.177504083268208e-4
113,Fe+Si,4,2,1,16.42388193672832,5.064314118805679e-5
114,Fe+Ti,5,2,2,16.744465739087673,2.3119874033848773e-4
115,Fe+V,4,2,1,16.42388193672832,5.064314118805679e-5
116,Fe+W,4,2,1,16.42388193672832,5.064314118805679e-5
144,Mn+Na,5,2,2,6.005300449323045,0.04965529614157971
151,Na+O,4,2,1,4.966288700727773,0.025846048802297922
153,Na+Si,4,2,1,4.966288700727773,0.025846048802297922
154,Na+Ti,5,2,2,6.886071642271531,0.03196749028645875
155,Na+V,4,2,1,4.966288700727773,0.025846048802297922
156,Na+W,4,2,1,4.966288700727773,0.025846048802297922
176,Al+As+Fe,5,3,2,16.481946057500636,2.6362760737355293e-4
191,Al+Ba+Fe,5,3,2,16.559887662945926,2.535514412457555e-4
204,Al+Ca+Er,4,3,1,4.133173266987342,0.0420504292277356
205,Al+Ca+Fe,5,3,2,18.373230859815976,1.0240086174579596e-4
210,Al+Ca+Na,5,3,2,9.193140632847985,0.010086369546751671
211,Al+Ca+O,4,3,1,4.133173266987342,0.0420504292277356
213,Al+Ca+Si,4,3,1,4.133173266987342,0.0420504292277356
215,Al+Ca+V,4,3,1,4.133173266987342,0.0420504292277356
216,Al+Ca+W,4,3,1,4.133173266987342,0.0420504292277356
218,Al+Cu+Fe,5,3,2,17.38099906967261,1.6817599546714723e-4
230,Al+Er+Fe,4,3,1,16.42388193672832,5.064314118805679e-5
235,Al+Er+Na,4,3,1,4.966288700727773,0.025846048802297922
242,Al+Fe+Ir,5,3,2,16.59538811284358,2.490905541263388e-4
243,Al+Fe+K,5,3,2,16.956139733893338,2.0797974414014955e-4
244,Al+Fe+Mg,5,3,2,16.815977420450622,2.230780806764812e-4
245,Al+Fe+Mn,5,3,2,16.765938030219445,2.2872983399132202e-4
246,Al+Fe+Na,5,3,2,20.041724135997583,4.446260460664259e-5
247,Al+Fe+O,4,3,1,16.42388193672832,5.064314118805679e-5
248,Al+Fe+S,5,3,2,16.86432213404828,2.177504083268208e-4
249,Al+Fe+Si,4,3,1,16.42388193672832,5.064314118805679e-5
250,Al+Fe+Ti,5,3,2,16.744465739087673,2.3119874033848773e-4
251,Al+Fe+V,4,3,1,16.42388193672832,5.064314118805679e-5
252,Al+Fe+W,4,3,1,16.42388193672832,5.064314118805679e-5
280,Al+Mn+Na,5,3,2,6.005300449323045,0.04965529614157971
287,Al+Na+O,4,3,1,4.966288700727773,0.025846048802297922
289,Al+Na+Si,4,3,1,4.966288700727773,0.025846048802297922
290,Al+Na+Ti,5,3,2,6.886071642271531,0.03196749028645875
291,Al+Na+V,4,3,1,4.966288700727773,0.025846048802297922
292,Al+Na+W,4,3,1,4.966288700727773,0.025846048802297922
311,As+Ba+Fe,6,3,3,16.626441972968678,8.434217293137996e-4
325,As+Ca+Fe,6,3,3,18.401453507918177,3.634663095248777e-4
330,As+Ca+Na,6,3,3,9.211096751051173,0.026611996854841738
338,As+Cu+Fe,6,3,3,17.46608647654034,5.666821761666364e-4
350,As+Er+Fe,5,3,2,16.481946057500636,2.6362760737355293e-4
362,As+Fe+Ir,6,3,3,16.656017987982068,8.317038579483909e-4
363,As+Fe+K,6,3,3,17.012524005130103,7.025631699045023e-4
